cod_estado;cod_modalidad;cod_municipio;cod_provincia;cp;direccion;email;estado;fecha_alta;modalidad;municipio;nombre;numhabmas8;numhabmenos8;numplaanterior;numplahabmas8;numplahabmenos8;periodo;provincia;signatura;web;telefono
A;ALT;129;12;12150;PD PARRETA;info@laparreta.com;ACTIVO;26/06/1997;ALBERGUE;VILAFRANCA/VILLAFRANCA DEL CID;LA PARRETA;0;0;60;0;0;No especificado;CASTELLÓN/CASTELLÓ;CV-ALT000007-CS;http://www.laparreta.com;654908395
A;ALT;092;03;03830;PD LA CABANYA S/N;info@elmasdelacasablanca.com;ACTIVO;15/12/1999;ALBERGUE;MURO DE ALCOY;MAS DE LA CASA BLANCA;0;0;97;0;0;No especificado;ALICANTE/ALACANT;CV-ALT000008-A;http://www.elmasdelacasablanca.com;965529393
A;ALT;046;12;12231;PL VIRGEN 3;;ACTIVO;07/07/1997;ALBERGUE;CIRAT;CIRAT;1;0;0;24;0;No especificado;CASTELLÓN/CASTELLÓ;CV-ALT000008-CS;;619828938
A;ALT;111;46;46370;SIERRA PERENCHIZA-ENTREPINOS 5;;ACTIVO;13/09/2000;ALBERGUE;CHIVA;BODHI SALUD;4;6;0;32;12;No especificado;VALENCIA/VALÈNCIA;CV-ALT000008-V;;961804084
A;ALT;254;46;46310;C SAN JUAN 9;info@ruting.es;ACTIVO;12/11/2001;ALBERGUE;VENTA DEL MORO;LA BESANA;0;0;38;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000009-V;http://www.ruting.es;962185039
A;ALT;003;03;03837;PD LA FITA, DISEMINADOS 10;info@rieradeagres.com;ACTIVO;21/06/2000;ALBERGUE;AGRES;RIERA D'AGRES;3;2;57;32;10;[Anual];ALICANTE/ALACANT;CV-ALT000010-A;http://www.rieradeagres.com/;965529087
A;ALT;079;12;12448;AV Avda. Fuente de Baños 39;alberguedharma@gmail.com;ACTIVO;25/05/1999;ALBERGUE;MONTANEJOS;ALBERGUE EL DHARMA;4;2;0;36;12;No especificado;CASTELLÓN/CASTELLÓ;CV-ALT000010-CS;http://www.albergueelrefugio.com;964 13 13 17
A;ALT;137;03;03791;C Colón, 7 - Benimaurell;albergrabosa@gmail.com;ACTIVO;10/08/2001;ALBERGUE;VALL DE LAGUAR, LA;RABOSA;3;0;36;40;0;[Anual];ALICANTE/ALACANT;CV-ALT000011-A;;636484853
A;ALT;092;46;46141;Los Centenares S7N;loscentenares@gmail.com;ACTIVO;19/11/2001;ALBERGUE;CASTIELFABIB;LOS CENTENARES;0;0;70;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000011-V;http://www.loscentenares.com;978783504
A;ALT;084;03;03860;PD FONTETES S/N;info@albergueserpis.com;ACTIVO;12/05/2003;ALBERGUE;ORXA, L'/LORCHA;ALBERGUE DEL SERPIS;0;0;30;0;0;No especificado;ALICANTE/ALACANT;CV-ALT000012-A;;628444255
A;ALT;093;12;12599;CM LA FONT LLUNY S/N;lafontlluny@lafotnlluny.com;ACTIVO;08/03/2002;ALBERGUE;POBLA DE BENIFASSÀ, LA;LA FONT LLUNY;0;0;60;0;0;No especificado;CASTELLÓN/CASTELLÓ;CV-ALT000012-CS;http://www.lafontlluny.com/;977729125
A;ALT;234;46;46168;PD  EL CERRAO S/N;administracion@paunatura.es;ACTIVO;06/06/2002;ALBERGUE;SOT DE CHERA;EL CERRAO;0;0;94;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000012-V;www.paunatura.es;962348025
A;ALT;021;03;03450;CR C.V. 795, KM. 17;info@llardemariola.com;ACTIVO;04/08/2003;ALBERGUE;BANYERES DE MARIOLA;ULL DE CANALS;0;0;30;0;0;No especificado;ALICANTE/ALACANT;CV-ALT000013-A;http://www.llardemariola.com;965566531
A;ALT;040;46;46266;C PURISIMA 84;sered8@yahoo.es;ACTIVO;24/07/2002;ALBERGUE;ANTELLA;L'ASSUT DE ANTELLA;0;12;0;0;66;No especificado;VALENCIA/VALÈNCIA;CV-ALT000013-V;sered.inf;962974395
A;ALT;072;46;46880;CR BOCAIRENT-ALCOI, KM. 3,3;harkaway.appaloosas@hotmail.com;ACTIVO;07/01/2003;ALBERGUE;BOCAIRENT;LA YUCA;0;0;12;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000015-V;http://appaloosasjak.jimdo.com/;687527113
A;ALT;012;46;46369;PD MALENAS S/N;actio@actioactivitats.com;ACTIVO;07/01/2003;ALBERGUE;ALBORACHE;ACTIO;8;5;110;88;22;No especificado;VALENCIA/VALÈNCIA;CV-ALT000016-V;http://www.actioactivitats.com;963741156
A;ALT;118;46;46810;PD Teularet S/N;info@naturjove.es;ACTIVO;27/02/2003;ALBERGUE;ENGUERA;EL TEULARET;0;0;75;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000017-V;http://www.naturjove.es/va;962217188
A;ALT;010;03;03459;C El Salvador s/n.;correo@silvoturismo.com;ACTIVO;23/12/2011;ALBERGUE;ALFAFARA;FONT DEL TARRAGO;3;4;0;28;18;[Anual];ALICANTE/ALACANT;CV-ALT000018-A;;965376231
A;ALT;145;46;46680;C ARDIACA 4;sered8@yahoo.es;ACTIVO;08/05/2003;ALBERGUE;XÀTIVA;EL PALAU;0;0;40;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000018-V;sered.info;962254535
A;ALT;104;46;46837;CM DE LA SERRA AL PLÀ DE CORRALS;grupmv@gmail.com;ACTIVO;24/10/2003;ALBERGUE;QUATRETONDA;CASA DE LA BASTIDA;0;0;18;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000020-V;;962264622
A;ALT;080;12;12300;CO FABRICA GINER S/N;casesdemorella@morella.net;ACTIVO;16/07/2013;ALBERGUE;MORELLA;ALBERGUE FRANCESC DE VINATEA;2;9;0;18;44;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000021-CS;http://alberguemorella.com;964173117
A;ALT;224;46;46592;UR EL RODENO - PARCELA 371;info@casabetania.es;ACTIVO;07/06/2005;ALBERGUE;SEGART;BETANIA I;0;0;32;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000021-V;;962136130
A;ALT;045;12;12318;PL CREU ROJA 1;cinctorres.secretaria@cv.gva.es;ACTIVO;13/11/2013;ALBERGUE;CINCTORRES;LA ROCA PARDA;4;6;0;32;28;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000022-CS;http://www.cinctorres.es;964181001
A;ALT;108;46;46350;C BASCULA 3;info@casamontesinos.com;ACTIVO;27/03/2006;ALBERGUE;CHERA;CASA MONTESINOS;0;0;38;0;0;No especificado;VALENCIA/VALÈNCIA;CV-ALT000022-V;www.casamontesinos.com;619310917
A;ALT;108;12;12223;C LA FUENTE SN;gildanae6@gmail.com;ACTIVO;01/06/2015;ALBERGUE;SUERA/SUERAS;ALBERGUE PLA DEL RIU;2;3;0;16;8;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000023-CS;;618199545
A;ALT;007;12;12609;PO 5 PARCELA 69;info@mardefulles.es;ACTIVO;20/02/2017;ALBERGUE;ALFONDEGUILLA;ALBERGUE MAR DE FULLES;4;1;0;32;6;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000024-CS;http://mardefulles.es;964915809
A;ALT;080;46;46330;AV DE LA BALSA S/N;camporrobles.alcaldia@cv.gva.es;ACTIVO;29/06/2009;ALBERGUE;CAMPORROBLES;ALBERGUE MUNICIPAL DE CAMPORROBLES;5;0;0;40;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000024-V;;962181006
A;ALT;028;12;12560;PA PASEO PEREZ BAYER 17;allaves@hostelprime.es;ACTIVO;26/06/2023;ALBERGUE;BENICÀSSIM/BENICASIM;HOSTEL PRIME;2;2;;20;5;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000025-CS;;673424357
A;ALT;244;46;46900;PD CORRAL DE MANYES 325 L;info@albergueruralsanabria.com;ACTIVO;25/03/2010;ALBERGUE;TORRENT;SANABRIA;5;2;0;42;8;[Anual];VALENCIA/VALÈNCIA;CV-ALT000025-V;http://www.albergueruralsanabria.com;962110190
A;ALT;093;03;03660;PD LOS MOLINOS 151;info@ecoalberguelamola.es;ACTIVO;29/12/2016;ALBERGUE;NOVELDA;LA MOLA;1;7;0;14;32;[Anual];ALICANTE/ALACANT;CV-ALT000026-A;http://www.silvoturismo.com;965975754
A;ALT;127;12;12315;C RODA SORIANO 10;info@vallibona.es;ACTIVO;12/07/2017;ALBERGUE;VALLIBONA;ALBERG RURAL VALL DEL CERVOL;0;2;0;0;8;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000026-CS;http://vallibona.es;964171020
A;ALT;167;46;46198;AV Hermanos Sáez Merino S/N;info@alberguedemillares.es;ACTIVO;30/04/2010;ALBERGUE;MILLARES;ALBERGUE MUNICIPAL DE MILLARES;6;5;0;48;20;[Anual];VALENCIA/VALÈNCIA;CV-ALT000026-V;https://www.alberguedemillares.es;608 981 499
A;ALT;043;03;03410;CR DEL PUERTO, PARAJE LOS LLANOS DE LA MARE DE DEU S/N;reservas@eventosprosede.com;ACTIVO;26/07/2017;ALBERGUE;BIAR;COMPLEJO RURAL LAS LOMAS DE BIAR;3;7;0;72;18;[Anual];ALICANTE/ALACANT;CV-ALT000027-A;http://eventosprosede.com/escuela de verano;649824939
A;ALT;044;46;46620;PD Loma del Regajo - Polígono 64 Parcela 1;pacoregajo@hotmail.com;ACTIVO;23/02/2011;ALBERGUE;AYORA;EL REGAJO;6;2;0;60;10;[Anual];VALENCIA/VALÈNCIA;CV-ALT000027-V;;962191530
A;ALT;079;03;03440;CR Comarcal 798 ¿ Km 2,5;info@fincadaroca.es;ACTIVO;20/11/2017;ALBERGUE;IBI;FINCA DAROCA;12;0;0;96;0;[Anual];ALICANTE/ALACANT;CV-ALT000028-A;https://fincadaroca.com;+34 965 641 695
A;ALT;128;12;12192;AV  FABIAN RIBES (POLIDEPORTIVO ESTEPAR) SN;info@vilafames.es;ACTIVO;12/03/2018;ALBERGUE;VILAFAMÉS;ALBERGUE MUNICIPAL DE VILAFAMÉS;3;1;0;24;6;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000028-CS;http://www.vilafames.es;964329001
A;ALT;097;46;46625;PD POBLADO DE BASTA S/N;etomas_cofrentes@balneario.com;ACTIVO;13/07/2011;ALBERGUE;COFRENTES;POBLADO DE BASTA;4;3;0;48;14;[Semana Santa];VALENCIA/VALÈNCIA;CV-ALT000028-V;http://www.balneario.com;961894025
A;ALT;022;03;03814;PD Les Eres 1;albergueleseres@gmail.com;ACTIVO;28/03/2018;ALBERGUE;BENASAU;LES ERES;2;1;0;20;4;[Anual];ALICANTE/ALACANT;CV-ALT000029-A;https://www.facebook.com/AlbergueLesEres;
A;ALT;102;12;12597;CM STA MAGDALENA DE PULPIS A SALZADELLA KM. 2 POLIG. 16;vevav3x@gmail.com;ACTIVO;04/12/2020;ALBERGUE;SANTA MAGDALENA DE PULPIS;EL MASET;2;3;0;16;5;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000029-CS;;666907654
A;ALT;095;03;03760;PD VINALS. POL 1 - PAR 1 S/N;reservas@lovellanegra.es;ACTIVO;03/07/2019;ALBERGUE;ONDARA;L'OVELLA NEGRA;3;2;0;24;8;[Anual];ALICANTE/ALACANT;CV-ALT000030-A;https://lovellanegra.es;655 56 08 20
A;ALT;095;12;12210;Avenida Onda, 8;;ACTIVO;02/10/2024;ALBERGUE;RIBESALBES;Albergue La Casilla;8;0;;64;0;[Anual];CASTELLÓN/CASTELLÓ;CV-ALT000030-CS;;
A;ALT;050;03;03560;C CAMÍ FONDO 11;info@hakunamatata-hostel.com;ACTIVO;18/11/2015;ALBERGUE;CAMPELLO, EL;HAKUNA MATATA;2;1;;18;4;[Anual];ALICANTE/ALACANT;CV-ALT000031-A;http://www.hakunamatata-hostel.com;686023751
A;ALT;014;03;03005;C TUCUMAN 28;alicante@xhostel.com;ACTIVO;21/05/2016;ALBERGUE;ALACANT/ALICANTE;X HOSTEL ALICANTE;1;0;;36;0;[Anual];ALICANTE/ALACANT;CV-ALT000033-A;http://xhostel.com;965041295
A;ALT;079;46;46175;CR de Calles a Villar Olmos S/N;adm@calles.es;ACTIVO;14/10/2013;ALBERGUE;CALLES;ALBERGUE TURISTICO MUNICIPAL DE CALLES;2;0;0;32;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000033-V;https://www.calles.es;628 73 27 88
A;ALT;063;03;03700;C SANDUNGA 50;info@deniameetingpoint.com;ACTIVO;21/05/2016;ALBERGUE;DÉNIA;DENIA MEETING POINT YOUTH HOSTEL;1;0;;52;0;[Anual];ALICANTE/ALACANT;CV-ALT000034-A;http://deniameetingpoint.com;966430935
A;ALT;244;46;46900;C FONT DE SANT LLUIS 15;;ACTIVO;07/04/2014;ALBERGUE;TORRENT;NATURA Y CULTURA;7;0;0;56;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000034-V;http://www.naturaycultura.com;961255152
A;ALT;082;03;03730;C Príncipe de Asturias 40;http://hosteljavea.es;ACTIVO;21/05/2016;ALBERGUE;XÀBIA/JÁVEA;YOUTH HOSTEL JAVEA;1;0;;50;0;[Anual];ALICANTE/ALACANT;CV-ALT000035-A;http://hosteljavea.es;693800685
A;ALT;014;03;03005;C PINTOR GISBERT 46;chameleonhostel@gmail.com;ACTIVO;21/05/2016;ALBERGUE;ALACANT/ALICANTE;CHAMELEON HOSTEL ALICANTE;11;11;;106;43;[Anual];ALICANTE/ALACANT;CV-ALT000036-A;http://chameleonhostel.com;617870505
A;ALT;014;03;03004;C POETA QUINTANA 26;info@hostelole.com;ACTIVO;21/05/2016;ALBERGUE;ALACANT/ALICANTE;HOSTEL OLÉ;3;2;;32;10;[Anual];ALICANTE/ALACANT;CV-ALT000037-A;http://hostelole.com;966145206
A;ALT;256;46;46191;PD DE LA BALSA BARRETA, PARCELA 711, POLIGONO 35 S/N;info@lesrodanes.es;ACTIVO;04/12/2015;ALBERGUE;VILAMARXANT;LES RODANES;1;0;0;26;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000037-V;http://www.lesrodanes.es;960032261
A;ALT;087;46;46147;C FRANCISCO CANDEL TORTAJADA 4;pregunta@casaruralgarrido.com;ACTIVO;15/11/2017;ALBERGUE;CASAS ALTAS;FUENTE BELLIDO;2;3;0;18;6;[Anual];VALENCIA/VALÈNCIA;CV-ALT000038-V;http://www.casaruralgarrido.com;
A;ALT;121;03;03130;AV CATALANET, EDF. CARLOTTI 6-T.2-BJO;info@naturalschool.es;ACTIVO;28/05/2018;ALBERGUE;SANTA POLA;CENTRO NATURAL SCHOOL BEACH;4;1;;54;2;[Anual];ALICANTE/ALACANT;CV-ALT000039-A;http://naturalschool.es;644337923
A;ALT;251;46;46691;CM ERMITA,  POL 11 PARC 77-80 S/N;;ACTIVO;12/12/2017;ALBERGUE;VALLADA;LAS ERMITAS DE VALLADA;4;3;0;32;10;[Anual];VALENCIA/VALÈNCIA;CV-ALT000039-V;http://www.vallada.es;
A;ALT;250;46;46003;PL Tetuan 5;operaciones@feetuphostels.com;ACTIVO;16/02/2009;ALBERGUE;VALÈNCIA;PURPLE NEST HOSTEL;13;15;;108;44;[Anual];VALENCIA/VALÈNCIA;CV-ALT000040-V;nesthostelsvalencia.com;963532561
A;ALT;014;03;03004;C DIAZ MOREU 20;guillermofojo@gmail.com;ACTIVO;11/01/2018;ALBERGUE;ALACANT/ALICANTE;THE MARKET HOSTEL;2;3;;22;8;[Anual];ALICANTE/ALACANT;CV-ALT000041-A;http://themarkethostel.com;684138469
A;ALT;082;03;03730;C CHURRUCA 24;reserva@hostelxabia.com;ACTIVO;23/04/2019;ALBERGUE;XÀBIA/JÁVEA;HOSTEL XÀBIA;1;1;;11;4;[Anual];ALICANTE/ALACANT;CV-ALT000042-A;http://hostelxabia.com;654242242
A;ALT;014;03;03004;C MAESTRO CABALLERO 13;inversionespasoseguro@gmail.com;ACTIVO;14/06/2019;ALBERGUE;ALACANT/ALICANTE;NUMERO TRECE;4;1;;44;6;[Anual];ALICANTE/ALACANT;CV-ALT000043-A;;695511576
A;ALT;250;46;46024;AV Del Puerto 280;info@urbanyouthhostel.com;ACTIVO;21/05/2016;ALBERGUE;VALÈNCIA;URBAN YOUTH HOSTEL;8;6;;72;18;[Anual];VALENCIA/VALÈNCIA;CV-ALT000043-V;http://www.urbanyouthhostel.com;963212129
A;ALT;042;03;03726;AV VALENCIA 1;tono_antiquary_benitachell@hotmail.com;ACTIVO;04/09/2019;ALBERGUE;POBLE NOU DE BENITATXELL, EL/BENITACHELL;ANTIQUARY;2;1;;17;5;[Anual];ALICANTE/ALACANT;CV-ALT000044-A;;966493620
A;ALT;250;46;46003;C PAZ 36;info@rednesthostel.com;ACTIVO;13/02/2018;ALBERGUE;VALÈNCIA;RED NEST;11;11;;106;43;[Anual];VALENCIA/VALÈNCIA;CV-ALT000045-V;http://www.feetuphostels.com;963427168
A;ALT;047;03;03710;C MAYOR 24;reservas@hostelseadreams.com;ACTIVO;10/12/2019;ALBERGUE;CALP;HOSTEL SEA & DREAMS CALPE;8;6;;64;18;[Anual];ALICANTE/ALACANT;CV-ALT000046-A;http://hostelseadreamscalpe.com;652702070
A;ALT;250;46;28403;CL SAMANIEGO, 18;administracion@room00group.com;ACTIVO;30/07/2018;ALBERGUE;VALÈNCIA;ROOM00;10;16;;94;40;[Anual];VALENCIA/VALÈNCIA;CV-ALT000046-V;;689531392
A;ALT;099;03;03189;C FRANCISCO SALZILLO 10;zeniahostel1@gmail.com;ACTIVO;23/02/2021;ALBERGUE;ORIHUELA;ZENIA HOSTEL;2;1;;18;4;[Anual];ALICANTE/ALACANT;CV-ALT000047-A;http://zeniahostel.es;629884188
A;ALT;250;46;46007;C XATIVA 24;direccion@uphostel.com;ACTIVO;13/11/2018;ALBERGUE;VALÈNCIA;UPHOSTEL;8;0;;87;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000047-V;http://www.uphostel.com;963528158
A;ALT;031;03;03501;C San Miguel 13;info@grupovam.com;ACTIVO;08/08/2022;ALBERGUE;BENIDORM;HOSTEL BENIDORM BEACH;4;2;;32;12;[Anual];ALICANTE/ALACANT;CV-ALT000048-A;https://www.hostelbenidormbeach.es/;641382030
A;ALT;250;46;46003;PL DEL TEMPLE 6;hello@riverhostelvalencia.com;ACTIVO;23/11/2018;ALBERGUE;VALÈNCIA;THE RIVER HOSTEL;15;10;;144;48;[Anual];VALENCIA/VALÈNCIA;CV-ALT000048-V;http://www.riverhostelvalencia.com;963913955
A;ALT;250;46;46006;C VICENTE LLEO 28;;ACTIVO;15/01/2019;ALBERGUE;VALÈNCIA;CANTAGUA;3;1;;28;4;[Anual];VALENCIA/VALÈNCIA;CV-ALT000049-V;http://www.cantaguahostel.com;961816441
A;ALT;014;03;03010;C General Pintos 1;info@vadhostel.com;ACTIVO;03/05/2023;ALBERGUE;ALACANT/ALICANTE;VAD HOSTEL;2;3;;24;10;[Anual];ALICANTE/ALACANT;CV-ALT000050-A;http://vadhostel.com;640776448
A;ALT;250;46;46022;C AMPARO BALLESTER, 25 B;jesus@betteroh.com;ACTIVO;03/04/2019;ALBERGUE;VALÈNCIA;BETTER OH!;1;0;;18;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000050-V;http://www.betteroh.com;652887574
A;ALT;014;03;03004;PLAZA HOSPITAL VIEJO SAN ANTON, 9;reservas@a-cero.com;ACTIVO;16/04/2024;ALBERGUE;ALACANT/ALICANTE;A-CERO LIVING;2;2;;24;8;[Anual];ALICANTE/ALACANT;CV-ALT000051-A;https://a-ceroliving.com/;623302113
A;ALT;250;46;46001;C QUART 64;;ACTIVO;11/03/2020;ALBERGUE;VALÈNCIA;QUART YOUTH HOSTEL;5;4;;40;12;[Anual];VALENCIA/VALÈNCIA;CV-ALT000051-V;http://www.quarthostel.com;963270101
A;ALT;014;03;03003;AVENIDA EUSEBIO SEMPERE, 2, BAJO;info@hostal2estaciones.es;ACTIVO;14/05/2024;ALBERGUE;ALACANT/ALICANTE;HOSTEL DOS ESTACIONES;3;0;;50;0;[Anual];ALICANTE/ALACANT;CV-ALT000052-A;WWW.HOSTAL2ESTACIONES.ES;604920454
A;ALT;106;46;46176;PO 26 OT 827 S/N;turismo@chelva.es;ACTIVO;30/12/2021;ALBERGUE;CHELVA;ALBERGUE MUNICIPAL FUENTE DE LA GITANA;4;1;;48;2;[Anual];VALENCIA/VALÈNCIA;CV-ALT000052-V;http://www.turismochelva.es;962100011
A;ALT;014;03;03007;CALLE DOCTOR JUST, 11 BAJO;;ACTIVO;10/06/2024;ALBERGUE;ALACANT/ALICANTE;JUST HOSTEL CAPSULES;5;1;;72;2;[Anual];ALICANTE/ALACANT;CV-ALT000053-A;;966472900
A;ALT;250;46;46024;C D'EIVISSA 17;bizzbeachvalencia@gmail.com;ACTIVO;11/02/2022;ALBERGUE;VALÈNCIA;BEACH AND ARTS HOSTEL VALENCIA;6;3;;54;12;[Anual];VALENCIA/VALÈNCIA;CV-ALT000053-V;http://bizzbeach.es;632984721
A;ALT;031;03;03501;Maravall 11;info@spanglishhostel.com;ACTIVO;13/11/2024;ALBERGUE;BENIDORM;SPANGLISH HOSTEL;1;0;;10;0;[Anual];ALICANTE/ALACANT;CV-ALT000054-A;spanglishhostel.com;603434833
A;ALT;250;46;46007;C DOLORES ALCAIDE 14;hola@thevenuehostel.com;ACTIVO;13/07/2022;ALBERGUE;VALÈNCIA;THE VENUE HOSTEL;2;5;;20;24;[Anual];VALENCIA/VALÈNCIA;CV-ALT000054-V;http://www.thevenuehostel.com;674818137
A;ALT;014;03;03002;Calle Bendicho, 5 bis;KENZA.TAHRAT@GMAIL.COM;ACTIVO;07/07/2025;ALBERGUE;ALACANT/ALICANTE;Kenza Plage Hostel;5;0;;40;0;[Anual];ALICANTE/ALACANT;CV-ALT000055-A;;653555794
A;ALT;014;03;03010;CALLE FOMENTO,10;holamarevitahostel@gmail.com;ACTIVO;11/08/2025;ALBERGUE;ALACANT/ALICANTE;MAREVITA HOSTEL;3;2;;30;8;[Anual];ALICANTE/ALACANT;CV-ALT000056-A;https://www.marevitahostel.net;643852880
A;ALT;133;03;03181;Calle Orihuela nº6 bajo;Expert_lc@mail.ru;ACTIVO;04/09/2025;ALBERGUE;TORREVIEJA;Jazz House Hostel&Bar;3;1;;24;4;[Anual];ALICANTE/ALACANT;CV-ALT000057-A;;613729171
A;ALT;131;46;46730;PA MARITIMO NEPTUNO (LOCAL 7) 65;alojamientosgandia@gmail.com;ACTIVO;05/06/2023;ALBERGUE;GANDIA;INFANTE;1;0;;16;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000057-V;;619031745
A;ALT;014;03;03012;calle nueve de octubre 27;;ACTIVO;10/10/2025;ALBERGUE;ALACANT/ALICANTE;ALMA ONE;2;2;;18;6;[Anual];ALICANTE/ALACANT;CV-ALT000058-A;;
A;ALT;250;46;46010;PS DOCTOR BARTUAL MORET 6 - ENTR 1;e.j.montesinos@gmail.com;ACTIVO;24/06/2023;ALBERGUE;VALÈNCIA;THE POD SUITE HOSTEL;2;1;;18;6;[Anual];VALENCIA/VALÈNCIA;CV-ALT000058-V;;664087777
A;ALT;014;03;03003;CALLE ORENSE 8, LOCAL BAJO PUERTA 1;;ACTIVO;22/10/2025;ALBERGUE;ALACANT/ALICANTE;PEPPERGOLD;2;0;;16;0;[Anual];ALICANTE/ALACANT;CV-ALT000059-A;;
A;ALT;018;03;03590;AVENIDA LA NUCIA Nº13, LOCAL 4;;ACTIVO;18/02/2026;ALBERGUE;ALTEA;LEMON HOSTEL;4;4;;34;14;[Anual];ALICANTE/ALACANT;CV-ALT000060-A;;
A;ALT;250;46;46005;CALLE DOCTOR SUMSI 23;DAVID@STAYLAND.COM;ACTIVO;05/12/2024;ALBERGUE;VALÈNCIA;COLO COLO;3;0;;59;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000062-V;WWW.COLOCOLO.COM;660983803
A;ALT;250;46;46022;C/ MADERAS, 27;;ACTIVO;26/02/2025;ALBERGUE;VALÈNCIA;LIMIN HOSTEL CAPSULES;4;2;;56;8;[Anual];VALENCIA/VALÈNCIA;CV-ALT000063-V;;
A;ALT;250;46;46018;C/Cieza 3 bajo;;ACTIVO;14/03/2025;ALBERGUE;VALÈNCIA;THE POD SUITE HOSTEL VILLAGE;3;0;;48;0;[Anual];VALENCIA/VALÈNCIA;CV-ALT000064-V;;
