"Signatura";"Cod.Estado";"Estado";"Cod. Categoria";"Categoria";"Nombre";"Cod. Provincia";"Provincia";"Cod. Municipio";"Municipio";"CP";"Direccion";"Cod. Tipo Via";"Tipo via";"Via";"Numero";"Email";"Web";"Cod. Modalidad";"Modalidad";"Núm. Parcelas";"Plazas Parcela";"Núm. Bungalows";"Plaza Bungalows";"Sup. Libre Acampada";"Plazas Libre Acampada";"Plazas";"Fecha Alta";"Fecha Baja";"Periodo";"Días Periodo";
"CV-CAM000084-A";"A";"ALTA";"5e";"CINCO ESTRELLAS";"ALMAFRÁ";"03";"ALACANT";"031";"BENIDORM";"03500";"PARTIDA CABUT, 25";"PD";"PARTIDA";"CABUT";"25";"steve@almafracamping.com";"campingalmafra.es";"C";"CAMPING";"205";"498";"39";"168";"0";"0";"666";"25/06/2007"; ;"SIEMPRE ABIERTO"; 
"CV-CAM000066-A";"A";"ALTA";"4e";"CUATRO ESTRELLAS";"ARENA BLANCA";"03";"ALACANT";"031";"BENIDORM";"03503";"AVENIDA DR. SEVERO OCHOA, 44";"AV";"AVENIDA";"DR. SEVERO OCHOA";"44";"info@campingarenablanca.com";"http://www.campingarenablanca.com";"C";"CAMPING";"161";"303";"60";"239";"0";"0";"542";"08/04/1987"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000049-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"ARMANELLO";"03";"ALACANT";"031";"BENIDORM";"03503";"AVENIDA AV. COMUNIDAD VALENCIANA. CAMÍ DE L'ARMANELLO, S/N";"AV";"AVENIDA";"AV. COMUNIDAD VALENCIANA. CAMÍ DE L'ARMANELLO";"S/N";"info@campingarmanello.com";"https://www.campingarmanello.com/";"C";"CAMPING";"240";"468";"42";"22";"0";"0";"490";"31/12/1971"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000016-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"BENIDORM";"03";"ALACANT";"031";"BENIDORM";"03503";"AVENIDA DR. SEVERO OCHOA , S.N";"AV";"AVENIDA";"DR. SEVERO OCHOA";"S.N";"info@campingbenidorm.net";"http://www.campingbenidorm.net/";"C";"CAMPING";"83";"177";"24";"71";"181";"10";"258";"18/01/1968"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000035-A";"A";"ALTA";"4e";"CUATRO ESTRELLAS";"BENISOL";"03";"ALACANT";"031";"BENIDORM";"03503";"AVENIDA COMUNITAT VALENCIANA , S.N";"AV";"AVENIDA";"COMUNITAT VALENCIANA";"S.N";"info@campingbenisol.com";"campingbenisol.com";"C";"CAMPING";"292";"741";"45";"135";"0";"0";"876";"15/02/1982"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00047 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"DON QUIJOTE";"03";"ALACANT";"031";"BENIDORM";"03503";"CARRETERA N-332, KM. 122-PARTIDA DERRAMADOR";"CR";"CARRETERA";"N-332, KM. 122-PARTIDA DERRAMADOR"; ; ; ; ; ;"43";"129"; ; ; ; ;"129";"13/11/1983";"03/08/2006";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000076-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"EL RACO";"03";"ALACANT";"031";"BENIDORM";"03503";"AVENIDA DR. SEVERO OCHOA, S.N";"AV";"AVENIDA";"DR. SEVERO OCHOA";"S.N";"info@campingraco.com";"http://www.campingraco.com";"C";"CAMPING";"654";"1950";"4";"20";"0";"0";"1970";"15/09/1997"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000098-A";"A";"ALTA";"4e";"CUATRO ESTRELLAS";"MAGIC NATURA LODGE RESORT";"03";"ALACANT";"031";"BENIDORM";"03502";"CALLE FOIA DEL VERDADER, 1";"C";"CALLE";"FOIA DEL VERDADER";"1";"reservas@magicnatura.com";"http://www.magicnatura.com";"C";"CAMPING";"350"; ;"350";"1400"; ; ;"1400";"10/06/2015"; ;"01/01 - 31/10";"De Lunes a Domingo"
"CV-CAM000079-A";"A";"ALTA";"4e";"CUATRO ESTRELLAS";"MAGIC ROBIN HOOD SPORTS, WATERPARK & MEDIEVAL LODGE";"03";"ALACANT";"031";"BENIDORM";"03503";"CAMINO VIEJO DEL ALBIR, S/N.";"CM";"CAMINO";"VIEJO DEL ALBIR";"S/N.";"reservas@magicrobinhood.com";"https://www.magicrobinhood.com";"C";"CAMPING";"470";"0";"470";"2200";"0"; ;"2200";"03/05/2000"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-ARP000002-A";"A";"ALTA";"AP";"A PERNOCTA";"PARK TERRA NATURA";"03";"ALACANT";"031";"BENIDORM";"03502";"CALLE FOIA DEL VERDADER, 1";"C";"CALLE";"FOIA DEL VERDADER";"1";"camperareapark@terranatura.com";"http://camperareapark.terranatura.com";"A";"AREA PERNOCTA";"40";"120"; ; ; ; ;"120";"24/10/2017"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00053 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"TITUS";"03";"ALACANT";"031";"BENIDORM";"03503";"AVENIDA COMUNIDAD VALENCIANA, 124";"AV";"AVENIDA";"COMUNIDAD VALENCIANA";"124"; ; ; ; ;"35";"105"; ; ;"370";"18";"123";"15/07/1975";"31/03/2010";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000082-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"VILLAMAR";"03";"ALACANT";"031";"BENIDORM";"03500";"CARRETERA DEL ALBIR, KM. 0`300";"CR";"CARRETERA";"DEL ALBIR, KM. 0`300"; ;"camping@camping-villamar.com";"www.campingvillamar.com";"C";"CAMPING";"1090";"3270";"0";"0";"0";"0";"3270";"20/03/2003"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000069-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"VILLASOL";"03";"ALACANT";"031";"BENIDORM";"03503";"AVENIDA BERNAT DE SARRIÀ, 13";"AV";"AVENIDA";"BERNAT DE SARRIÀ";"13";"info@camping-villasol.com";"https://www.camping-villasol.com";"C";"CAMPING";"332";"867";"43";"198";"620";"55";"1120";"15/02/1990"; ;"SIEMPRE ABIERTO"; 
"CV C00008 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"FANADIX";"03";"ALACANT";"041";"BENISSA";"03720";"CARRETERA MORAIRA-CALPE, KM. 6-PARTIDA FANADIX";"CR";"CARRETERA";"MORAIRA-CALPE, KM. 6-PARTIDA FANADIX"; ;"fanadix@campingfanadix.com";"http://www.campingfanadix.com"; ; ;"114";"342";"0";"0";"1419";"69";"411";"12/11/1963";"08/08/2008";"15/03 - 30/09";"De Lunes a Domingo"
"CV-CAM000117-A";"A";"ALTA";"1e";"UNA ESTRELLA";"DREAMSEA MEDITERRANEAN CAMP";"03";"ALACANT";"042";"POBLE NOU DE BENITATXELL, EL/ BENITACHELL";"03726";"CALLE LOS OLIVOS (URB. PP CDS MAR), 97";"C";"CALLE";"LOS OLIVOS (URB. PP CDS MAR)";"97";"mediterranean@dreamseasurfcamp.com";"https://dreamseasurfcamp.com/mediterranean/";"C";"CAMPING";"21"; ;"21";"42"; ; ;"42";"15/02/2021"; ;"01/04 - 31/10";"De Lunes a Domingo"
"CV-CAM000086-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"LA PEDRERA";"03";"ALACANT";"044";"BIGASTRO";"03380";"CALLE CAÑADA DE ANDREA, 100";"C";"CALLE";"CAÑADA DE ANDREA";"100";"info@campinglapedrera.com";"https://www.campinglapedrera.com";"C";"CAMPING";"76";"135";"31";"125";"0"; ;"260";"17/05/2010"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000085-A";"A";"ALTA";"4e";"CUATRO ESTRELLAS";"CALPEMAR";"03";"ALACANT";"047";"CALP";"03710";"CALLE ESLOVENIA, 3";"C";"CALLE";"ESLOVENIA";"3";"info@campingcalpemar.com";"http://www.campingcalpemar.com";"C";"CAMPING";"109";"321";"2";"8";"0";"0";"329";"15/07/2009"; ;"SIEMPRE ABIERTO"; 
"CV C00021 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"IFACH";"03";"ALACANT";"047";"CALP";"03710";"CARRETERA CALPE-MORAIRA, K5";"CR";"CARRETERA";"CALPE-MORAIRA";"K5"; ; ; ; ;"39";"117"; ; ;"82";"4";"121";"15/12/1964";"20/02/2006";"15/03 - 31/10";"De Lunes a Domingo"
"CV-CAM000031-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"LA MERCED";"03";"ALACANT";"047";"CALP";"03710";"AVENIDA JAUME  I  EL CONQUERIDOR, 32-E-1";"AV";"AVENIDA";"JAUME  I  EL CONQUERIDOR";"32-E-1"; ; ;"C";"CAMPING";"81";"234";"3";"12";"729";"37";"283";"10/10/1984"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00075 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"LA VIÑA DE CALPE";"03";"ALACANT";"047";"CALP";"03710";"PARTIDA LA MERCED, 1-H";"PD";"PARTIDA";"LA MERCED";"1-H"; ; ; ; ;"54";"162"; ;"0";"611";"26";"188";"14/08/1997";"12/05/1999"; ; 
"CV C00070 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"LEVANTE";"03";"ALACANT";"047";"CALP";"03710";"CARRETERA CALPE-MORAIRA, KM. 5";"CR";"CARRETERA";"CALPE-MORAIRA, KM. 5"; ;"info@campinglevantecalpe.com";"www.campinglevantecalpe.com"; ; ;"47";"141";"0";"0";"630";"27";"168";"29/07/1991";"01/06/2010";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000121-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"MARYSOL PARK";"03";"ALACANT";"047";"CALP";"03710";"PARTIDA MARISOL PARK, 43-A";"PD";"PARTIDA";"MARISOL PARK";"43-A";"info@marysolcampigpark.com";"http://marysolcampingpark.com";"C";"CAMPING";"68";"204";"0";"0";"0";"0";"204";"24/08/2022"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000095-A";"A";"ALTA";"2";"SEGUNDA CATEGORÍA";"MEDITERRANEO";"03";"ALACANT";"047";"CALP";"03710";"PARTIDA COLARI, 7-E";"PD";"PARTIDA";"COLARI";"7-E";"info@mediterraneocamper.com";"http://mediterraneocamper.com";"C";"CAMPING";"72";"216";"0";"0";"0";"0";"216";"25/02/2015"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000096-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"PARAISO CAMPER";"03";"ALACANT";"047";"CALP";"03710";"URBANIZACIÓN UR LOS ALMENDROS 9-A, 9-A";"UR";"URBANIZACIÓN";"UR LOS ALMENDROS 9-A";"9-A";"calpe@paraisocamper.com";"www. paraisocamper.com";"C";"CAMPING";"61";"183";"0";"0";"0";"0";"183";"20/04/2015"; ;"01/01 - 31/06 y 01/09 - 31/12";"De Lunes a Domingo"
"CV-CAM000103-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"SOL DE CALPE AUSTRAL";"03";"ALACANT";"047";"CALP";"03710";"CALLE ESTONIA, 3 - 5";"C";"CALLE";"ESTONIA";"3 - 5";"info@campingsoldecalpe.com";"http://campingsoldecalpe.com";"C";"CAMPING";"66";"198";"0";"0";"0";"0";"198";"18/04/2017"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00109 A";"B";"BAJA";"3e";"TRES ESTRELLAS";"SOL DE CALPE BOREAL";"03";"ALACANT";"047";"CALP";"03710";"AVENIDA BULGARIA, 4";"AV";"AVENIDA";"BULGARIA";"4";"INFO@CAMPINGSOLDECALPE.COM";"http://CAMPINGSOLDECALPE.COM";"C";"CAMPING";"88";"264"; ; ;"0"; ;"264";"03/11/2017";"01/03/2023";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00112 A";"B";"BAJA";"3e";"TRES ESTRELLAS";"SOL DE CALPE BOREAL";"03";"ALACANT";"047";"CALP";"03710";"AVENIDA BULGARIA, 4";"AV";"AVENIDA";"BULGARIA";"4";"info@soldecalpe.com";"http://www.campingsoldecalpe.com";"C";"CAMPING";"88";"264"; ; ; ; ;"264";"03/11/2017";"12/02/2020";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000119-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"FONTS DE L'ALGAR";"03";"ALACANT";"048";"CALLOSA D'EN SARRIÀ";"03510";"PARTIDA ALGAR -  PDA. TORRETA-SEGARRA, 146";"PD";"PARTIDA";"ALGAR -  PDA. TORRETA-SEGARRA";"146";"info@fontsdelalgar.com";"http://fontsdelalgar.com";"C";"CAMPING";"42";"96";"10";"39";"994";"30";"165";"28/03/2022"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000116-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"AREA NATUR PLAYAMUCHAVISTA";"03";"ALACANT";"050";"EL CAMPELLO";"03560";"CALLE ANCORES, 25-29";"C";"CALLE";"ANCORES";"25-29";"info@areanaturplaya.com";"www.areanaturplaya.com";"C";"CAMPING";"70";"210";"0"; ; ; ;"210";"17/11/2020"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000073-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"BON SOL";"03";"ALACANT";"050";"EL CAMPELLO";"03560";"CAMINO REAL DE VILLAJOYOSA, 35";"CM";"CAMINO";"REAL DE VILLAJOYOSA";"35";"info@campingbonsol.es";"http://www.campingbonsol.es/";"C";"CAMPING";"47";"135";"2";"10"; ; ;"145";"03/10/1994"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000104-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"CAMPER AREA 7";"03";"ALACANT";"050";"EL CAMPELLO";"03560";"AVENIDA FABRAQUER, 14";"AV";"AVENIDA";"FABRAQUER";"14";"info@camperarea7.com";"https://www.camperarea7.com";"C";"CAMPING";"50";"150";"0"; ; ; ;"150";"19/04/2017"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000094-A";"A";"ALTA";"2e";"DOS ESTRELLAS";"CAMPER AREA CAMPELLO BEACH";"03";"ALACANT";"050";"EL CAMPELLO";"03560";"CALLE JUAN DE LACIERVA, 8";"C";"CALLE";"JUAN DE LACIERVA";"8";"info@camperareacampellobeach.com";"http://camperareacampellobeach.com";"C";"CAMPING";"40";"120";"0";"0";"0";"0";"120";"03/02/2015"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000028-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"COSTA BLANCA";"03";"ALACANT";"050";"EL CAMPELLO";"03560";"CALLE CONVENTO, 143  (NACIONAL 332, KM. 120.5)";"C";"CALLE";"CONVENTO, 143  (NACIONAL 332, KM. 120.5)"; ;"info@campingcostablanca.com";"http://www.campingcostablanca.com";"C";"CAMPING";"85";"156";"33";"147";"330";"20";"323";"08/08/1968"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000080-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"EL JARDIN";"03";"ALACANT";"050";"EL CAMPELLO";"03550";"CALLE DOCTOR SEVERO OCHOA, 39";"C";"CALLE";"DOCTOR SEVERO OCHOA";"39";"info@campingeljardin.com";"http://www.campingeljardin.com";"C";"CAMPING";"133";"366";"11";"60"; ; ;"424";"21/02/2002"; ;"SIEMPRE ABIERTO"; 
"CV C00039 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"PLAYA MUCHAVISTA";"03";"ALACANT";"050";"EL CAMPELLO";"03560";"CALLE SEVERO OCHOA, 16";"C";"CALLE";"SEVERO OCHOA";"16"; ; ; ; ;"140";"420";"0";"0";"1419";"70";"490";"22/10/1970";"01/06/2004";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000088-A";"A";"ALTA";"5e";"CINCO ESTRELLAS";"ALANNIA COSTABLANCA";"03";"ALACANT";"059";"CREVILLENT";"03330";"PARTIDA  AP7. SALIDA 730 (CATRAL-CREVILLENT)";"PD";"PARTIDA";"AP7. SALIDA 730 (CATRAL-CREVILLENT)"; ;"reservas@alannia.com";"https://alanniaresorts.com/es/resorts/alannia-costa-blanca";"C";"CAMPING";"1412";"3255";"327";"1588";"0";"0";"4843";"08/11/2011"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000064-A";"A";"ALTA";"4e";"CUATRO ESTRELLAS";"LAS PALMERAS RESORT";"03";"ALACANT";"059";"CREVILLENT";"03330";"CARRETERA N-340 ALICANTE-MURCIA, C/GUTIERREZ DE CÁRDENAS, 30, KM.708";"CR";"CARRETERA";"N-340 ALICANTE-MURCIA, C/GUTIERREZ DE CÁRDENAS, 30";"KM.708";"laspalmeras@laspalmeras-sl.com";"https://laspalmerasresort.com/camping";"C";"CAMPING";"61";"138";"15";"60";"0";"0";"198";"01/08/1983"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00055 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"DIANA";"03";"ALACANT";"063";"DÉNIA";"03700";"CARRETERA DENIA POR LA COSTA, KM. 6";"CR";"CARRETERA";"DENIA POR LA COSTA, KM. 6"; ;"camping-diana@camping-diana.com";"http://www.camping-diana.com"; ; ;"44";"132";"1";"3";"332";"15";"150";"05/09/1975";"16/08/2006";"01/04 - 30/09";"De Lunes a Domingo"
"CV C00081 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"DIANA 2";"03";"ALACANT";"063";"DÉNIA";"03700";"CARRETERA DÉNIA, KM. 6";"CR";"CARRETERA";"DÉNIA";"KM. 6";"camping-diana@camping-denia.com";"http://www.camping-diana.com"; ; ;"42";"126";"0";"0";"353";"6";"132";"21/11/2002";"16/08/2006";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00044 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"EDEN DEL SOL";"03";"ALACANT";"063";"DÉNIA";"03700";"PARTIDA LAS MARINAS, 21";"PD";"PARTIDA";"LAS MARINAS";"21"; ; ; ; ; ; ; ; ; ; ; ;"26/11/1970";"16/10/1989"; ; 
"CV C00014 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"LAS MARINAS";"03";"ALACANT";"063";"DÉNIA";"03700";"PARTIDA LAS MARINAS, 053";"PD";"PARTIDA";"LAS MARINAS";"053"; ; ; ; ;"108";"324"; ; ;"762";"39";"363";"15/05/1963";"12/05/1999";"15/03 - 30/09";"De Lunes a Domingo"
"CV-CAM000034-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"LOS LLANOS";"03";"ALACANT";"063";"DÉNIA";"03700";"PARTIDA DEVESES, 32";"PD";"PARTIDA";"DEVESES";"32";"losllanos@losllanos.net";"http://www.losllanos.net";"C";"CAMPING";"164";"312";"60";"294"; ; ;"606";"08/11/1968"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000060-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"LOS PATOS";"03";"ALACANT";"063";"DÉNIA";"03770";"CARRETERA MARINES RACONS, 33";"CR";"CARRETERA";"MARINES RACONS";"33"; ; ;"C";"CAMPING";"158";"474";"0";"0";"300";"14";"488";"01/04/1981"; ;"01/01 - 31/12";"De Lunes a Domingo"
"CV-CAM000019-A";"A";"ALTA";"3e";"TRES ESTRELLAS";"LOS PINOS";"03";"ALACANT";"063";"DÉNIA";"03700";"PARTIDA PDA./ LAS ROTAS - CAMÍ DE LA RACONÀ, , 16";"PD";"PARTIDA";"PDA./ LAS ROTAS - CAMÍ DE LA RACONÀ,";"16";"lospinosdenia@gmail.com";"www.lospinosdenia.com";"C";"CAMPING";"108";"324";"0";"0";"743";"30";"354";"10/05/1983"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00038 A";"B";"BAJA";"3e";"TRES ESTRELLAS";"TOLOSA";"03";"ALACANT";"063";"DÉNIA";"03700";"CAMINO D'URIÒS, 32 - LES ROTES, 32";"CM";"CAMINO";"D'URIÒS, 32 - LES ROTES";"32";"info@campingtolosa.com";"http://www.campingtolosa.com";"C";"CAMPING";"57";"171";"0";"0"; ; ;"171";"28/09/1970";"16/01/2019";"01/04 - 30/09"; 
"CV C00063 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"EL PINET";"03";"ALACANT";"065";"ELX/ELCHE";"03294";"CALLE EL PINET-LA MARINA, S.N";"C";"CALLE";"EL PINET-LA MARINA";"S.N";"camping@turismedelx.com"; ; ; ;"306";"918"; ; ;"3538";"150";"1068";"27/01/1992";"29/02/2008";"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV-CAM000061-A";"A";"ALTA";"5e";"CINCO ESTRELLAS";"LA MARINA CAMPING & RESORT";"03";"ALACANT";"065";"ELX/ELCHE";"03194";"AVENIDA DE LA ALEGRÍA (LA MARINA), S/N";"AV";"AVENIDA";"DE LA ALEGRÍA (LA MARINA)";"S/N";"cristinagomis@campinglamarina.com cristinagomis@lamarinaresort.com";"https://www.lamarinaresorts.com/";"C";"CAMPING";"598";"1359";"145";"723"; ;"0";"2082";"11/09/1981"; ;"SIEMPRE ABIERTO";"De Lunes a Domingo"
"CV C00045 A";"B";"BAJA";"2";"SEGUNDA CATEGORÍA";"LO MORANT";"03";"ALACANT";"065";"ELX/ELCHE";"03200";"CARRETERA AEROPUERTO, K400";"CR";"CARRETERA";"AEROPUERTO";"K400"; ; ; ; ;"60"; ; ; ; ; ;"300";"10/05/1981";"11/04/2000";"01/06 - 30/09";"De Lunes a Domingo"
