cp;categoria;cod_categoria;cod_estado;cod_modalidad;cod_municipio;cod_provincia;direccion;email;estado;fecha_alta;modalidad;municipio;nombre;num_bungalos;num_parcelas;periodo;plaza_bungalos;plazas;plazas_libre_acampada;plazas_parcela;provincia;signatura;sup_libre_acampada;telefono;web
03195;TRES ESTRELLAS;3e;A;CAM;065;03;CAMI DEL CANAL, 66J;info@lomasdebalsares.es;ACTIVO;31/10/2025;CAMPING;ELX/ELCHE;LOMAS DE BALSARES;0;60;[Anual];0;180;180;0;ALICANTE/ALACANT;CV-CAM000129-A;0;665920191;www.lomasdebalsarescamperpark.com
03330;CINCO ESTRELLAS;5e;A;CAM;059;03;PD  AP7. Salida 730 (Catral-Crevillent);reservas@alannia.com;ACTIVO;08/11/2011;CAMPING;CREVILLENT;ALANNIA COSTABLANCA;342;1421;[Anual];1625;4862;3237;0;ALICANTE/ALACANT;CV-CAM000088-A;0;+34 965 48 49 45;https://alanniaresorts.com/es/resorts/alannia-costa-blanca
03330;CUATRO ESTRELLAS;4e;A;CAM;059;03;CR N-340 Alicante-Murcia, C/Gutierrez de Cárdenas, 30 km.708;laspalmeras@laspalmeras-sl.com;ACTIVO;01/08/1983;CAMPING;CREVILLENT;LAS PALMERAS RESORT;15;61;[Anual];60;198;138;0;ALICANTE/ALACANT;CV-CAM000064-A;0;660 061 982;https://laspalmerasresort.com/camping
03380;TRES ESTRELLAS;3e;A;CAM;044;03;C Cañada de Andrea 100;info@campinglapedrera.com;ACTIVO;17/05/2010;CAMPING;BIGASTRO;LA PEDRERA;31;76;[Anual];125;260;135;0;ALICANTE/ALACANT;CV-CAM000086-A;0;691 398 501;https://www.campinglapedrera.com
03400;UNA ESTRELLA;1e;A;CAM;140;03;PE Cabezo de la Virgen, 60 Las Virtudes;alicante@nomadingcamp.com;ACTIVO;24/05/2018;CAMPING;VILLENA;NOMADING CAMP ALICANTE;16;16;[Anual];32;32;0;0;ALICANTE/ALACANT;CV-CAM000111-A;0;631738516;https://www.nomadingcamp.com/hotel-burbuja-alicante
03500;CINCO ESTRELLAS;5e;A;CAM;031;03;PD Cabut 25;steve@almafracamping.com;ACTIVO;25/06/2007;CAMPING;BENIDORM;ALMAFRÁ;39;205;[Anual];168;666;498;0;ALICANTE/ALACANT;CV-CAM000084-A;0;965889075;campingalmafra.es
03502;CUATRO ESTRELLAS;4e;A;CAM;031;03;C Foia del Verdader 1;reservas@magicnatura.com;ACTIVO;10/06/2015;CAMPING;BENIDORM;MAGIC NATURA LODGE RESORT;350;350;No especificado;1400;1400;0;0;ALICANTE/ALACANT;CV-CAM000098-A;0;(+34) 865 662 225;http://www.magicnatura.com
03502;CUATRO ESTRELLAS;4e;A;CAM;031;03;C/ FOIA DEL VERDADER , 1;reservas@hoteles-costablanca.com;ACTIVO;19/05/2025;CAMPING;BENIDORM;MAGIC PIRATES ISLAND RESORT;224;224;[Anual];1096;1096;0;0;ALICANTE/ALACANT;CV-CAM000128-A;0;965851654;https://magicpiratesislandresort.com/
03503;CINCO ESTRELLAS;5e;A;CAM;031;03;PD MEDIA LEGUA POLIGONO 17 PARCELA 7 ,166,167;lamedialegua@sun-confort.com;ACTIVO;27/04/2024;CAMPING;BENIDORM;LA MEDIA LEGUA;18;398;[Anual];72;1212;1140;0;ALICANTE/ALACANT;CV-CAM000125-A;0;96 623 01 03;https://lamedialeguacamping.com/es
03503;CUATRO ESTRELLAS;4e;A;CAM;031;03;AV Comunitat Valenciana S.N;info@campingbenisol.com;ACTIVO;15/02/1982;CAMPING;BENIDORM;BENISOL;45;292;[Anual];135;876;741;0;ALICANTE/ALACANT;CV-CAM000035-A;0;965851673;campingbenisol.com
03503;CUATRO ESTRELLAS;4e;A;CAM;031;03;AV Dr. Severo Ochoa 44;info@campingarenablanca.com;ACTIVO;08/04/1987;CAMPING;BENIDORM;ARENA BLANCA;60;161;[Anual];239;542;303;0;ALICANTE/ALACANT;CV-CAM000066-A;0;965861889;http://www.campingarenablanca.com
03503;CUATRO ESTRELLAS;4e;A;CAM;031;03;CM Viejo del Albir s/n.;reservas@magicrobinhood.com;ACTIVO;03/05/2000;CAMPING;BENIDORM;MAGIC ROBIN HOOD SPORTS, WATERPARK & MEDIEVAL LODGE;470;470;[Anual];2200;2200;0;0;ALICANTE/ALACANT;CV-CAM000079-A;0;(+34) 966 867 139;https://www.magicrobinhood.com
03503;DOS ESTRELLAS;2e;A;CAM;031;03;AV Dr. Severo Ochoa 11;info@campinglatorreta.com;ACTIVO;29/09/1970;CAMPING;BENIDORM;LA TORRETA;23;247;[Anual];92;764;672;0;ALICANTE/ALACANT;CV-CAM000042-A;0;965854668;https://www.campinglatorreta.com
03503;DOS ESTRELLAS;2e;A;CAM;031;03;AV Dr. Severo Ochoa S.N;info@campingbenidorm.net;ACTIVO;18/01/1968;CAMPING;BENIDORM;BENIDORM;24;83;[Anual];71;258;177;10;ALICANTE/ALACANT;CV-CAM000016-A;180.96;965860011;http://www.campingbenidorm.net/
03503;TRES ESTRELLAS;3e;A;CAM;031;03;AV Bernat de Sarrià 13;info@camping-villasol.com;ACTIVO;15/02/1990;CAMPING;BENIDORM;VILLASOL;43;332;[Anual];198;1120;867;55;ALICANTE/ALACANT;CV-CAM000069-A;620;+34 965 850 422;https://www.camping-villasol.com
03503;TRES ESTRELLAS;3e;A;CAM;031;03;AV Comunidad Valenciana. Camí de L'Armanello s/n;info@campingarmanello.com;ACTIVO;31/12/1971;CAMPING;BENIDORM;ARMANELLO;49;191;[Anual];215;641;426;0;ALICANTE/ALACANT;CV-CAM000049-A;0;96 585 31 90;https://www.campingarmanello.com/
03503;TRES ESTRELLAS;3e;A;CAM;031;03;AV DR. SEVERO OCHOA S.N;info@campingraco.com;ACTIVO;15/09/1997;CAMPING;BENIDORM;EL RACO;4;654;[Anual];20;1970;1950;0;ALICANTE/ALACANT;CV-CAM000076-A;0;965868552;http://www.campingraco.com
03503;TRES ESTRELLAS;3e;A;CAM;031;03;CR del Albir, km. 0'300;camping@campingvillamar.com;ACTIVO;20/03/2003;CAMPING;BENIDORM;VILLAMAR;3;1090;[Anual];13;3274;3261;0;ALICANTE/ALACANT;CV-CAM000082-A;0;966 811 255;www.campingvillamar.com
03509;DOS ESTRELLAS;2e;A;CAM;069;03;C Beniarres 6;reservas@camperaliafinestrat.com;ACTIVO;11/01/2023;CAMPING;FINESTRAT;CAMPERALIA FINESTRAT;0;86;[Anual];0;258;258;0;ALICANTE/ALACANT;CV-CAM000122-A;0;693005621;https://www.camperaliafinestrat.com/
03509;UNA ESTRELLA;1e;A;CAM;069;03;PD TAPIADA MARRAIX 57;campingpuigcampana@gmail.com;ACTIVO;28/05/2015;CAMPING;FINESTRAT;PUIG CAMPANA;0;43;[Anual];0;155;129;26;ALICANTE/ALACANT;CV-CAM000097-A;1013;965 878 584;http://campingpuigcampana.com
03510;DOS ESTRELLAS;2e;A;CAM;048;03;PD ALGAR -  PDA. TORRETA-SEGARRA 146;info@fontsdelalgar.com;ACTIVO;28/03/2022;CAMPING;CALLOSA D'EN SARRIÀ;FONTS DE L'ALGAR;7;42;[Anual];30;165;105;30;ALICANTE/ALACANT;CV-CAM000119-A;994;608742571;http://fontsdelalgar.com
03520;UNA ESTRELLA;1e;A;CAM;107;03;CAMI DEL CASTELLET;info@camperponoig.es;ACTIVO;25/12/2025;CAMPING;POLOP;CAMPER PONOIG;0;62;[Anual];0;186;186;0;ALICANTE/ALACANT;CV-CAM000132-A;0;652704778;www.camperponoig.es
03550;TRES ESTRELLAS;3e;A;CAM;050;03;C DOCTOR SEVERO OCHOA 39;info@campingeljardin.com;ACTIVO;21/02/2002;CAMPING;CAMPELLO, EL;EL JARDIN;11;133;[Anual];60;424;366;0;ALICANTE/ALACANT;CV-CAM000080-A;0;965657580;http://www.campingeljardin.com
03560;DOS ESTRELLAS;2e;A;CAM;050;03;AV Fabraquer 14;info@camperarea7.com;ACTIVO;19/04/2017;CAMPING;CAMPELLO, EL;CAMPER AREA 7;0;50;[Anual];0;150;150;0;ALICANTE/ALACANT;CV-CAM000104-A;0;666106389;https://www.camperarea7.com
03560;DOS ESTRELLAS;2e;A;CAM;050;03;C ANCORES 25-29;info@areanaturplaya.com;ACTIVO;17/11/2020;CAMPING;CAMPELLO, EL;AREA NATUR PLAYAMUCHAVISTA;0;70;[Anual];0;210;210;0;ALICANTE/ALACANT;CV-CAM000116-A;0;618450066;www.areanaturplaya.com
03560;DOS ESTRELLAS;2e;A;CAM;050;03;C Juan de laCierva 8;info@camperareacampellobeach.com;ACTIVO;03/02/2015;CAMPING;CAMPELLO, EL;CAMPER AREA CAMPELLO BEACH;0;40;[Anual];0;120;120;0;ALICANTE/ALACANT;CV-CAM000094-A;0;683612722;http://camperareacampellobeach.com
03560;DOS ESTRELLAS;2e;A;CAM;050;03;C/ Palamós, nº 7-Parc. A1;adesalicante@yahoo.es;ACTIVO;12/01/2026;CAMPING;CAMPELLO, EL;CAMPER PARK ALICANTE;0;167;[Anual];0;501;501;0;ALICANTE/ALACANT;CV-CAM000133-A;0;679600342;
03560;DOS ESTRELLAS;2e;A;CAM;050;03;Crta. de Benimagrell, 36;sunsetcamperarea@gmail.com;ACTIVO;05/03/2026;CAMPING;CAMPELLO, EL;SUNSET CAMPER AREA;0;106;[Anual];0;318;318;0;ALICANTE/ALACANT;CV-CAM000134-A;0;696995727;www.sunsetcamperarea.com
03560;TRES ESTRELLAS;3e;A;CAM;050;03;C Convento, 143  (Nacional 332, Km. 120.5);info@campingcostablanca.com;ACTIVO;08/08/1968;CAMPING;CAMPELLO, EL;COSTA BLANCA;40;85;[Anual];179;334;135;20;ALICANTE/ALACANT;CV-CAM000028-A;330;965630670;http://www.campingcostablanca.com
03560;TRES ESTRELLAS;3e;A;CAM;050;03;CM REAL DE VILLAJOYOSA 35;info@campingbonsol.es;ACTIVO;03/10/1994;CAMPING;CAMPELLO, EL;BON SOL;6;47;[Anual];16;139;123;0;ALICANTE/ALACANT;CV-CAM000073-A;0;626219880;http://www.campingbonsol.es/
03570;DOS ESTRELLAS;2e;A;CAM;139;03;CR N-332, KM. 136-PARTIDA EL PARAISO 66;info@campingplayaparaiso.com;ACTIVO;13/07/1965;CAMPING;VILA JOIOSA, LA/VILLAJOYOSA;PLAYA PARAÍSO;6;84;[Anual];24;258;234;0;ALICANTE/ALACANT;CV-CAM000006-A;0;966851838;http://www.campingplayaparaiso.com/
03570;TRES ESTRELLAS;3e;A;CAM;139;03;CR CV-759, km 1 Partida Secanet;ave@campingalicanteimperium.com;ACTIVO;05/07/2016;CAMPING;VILA JOIOSA, LA/VILLAJOYOSA;ALICANTE IMPERIUM;14;159;[Anual];54;489;435;0;ALICANTE/ALACANT;CV-CAM000100-A;0;+34 96 506 32 32;https://www.campingalicanteimperium.com
03570;TRES ESTRELLAS;3e;A;CAM;139;03;PD EL TORRES NORTE, Playa El Torres;info@campingeltorres.com;ACTIVO;17/10/2014;CAMPING;VILA JOIOSA, LA/VILLAJOYOSA;EL TORRES;11;119;[Anual];66;390;324;0;ALICANTE/ALACANT;CV-CAM000093-A;3946;+34 965 995 077;https://campingeltorres.com
03580;DOS ESTRELLAS;2e;A;CAM;011;03;CM DELS ALGUERS. POLIGONO 4 PARCELA 145 S/N;info@orangegrovecamperpark.com;ACTIVO;02/07/2020;CAMPING;ALFÀS DEL PI, L';ORANGE GROVE;0;26;[Anual];0;78;78;0;ALICANTE/ALACANT;CV-CAM000114-A;0;609656049;http://www.orangegrovecamperpark.com
03581;CUATRO ESTRELLAS;4e;A;CAM;011;03;C SERRA GELADA S/N;lacolinabeach@hotmail.com;ACTIVO;29/09/2016;CAMPING;ALFÀS DEL PI, L';LA COLINA;12;256;[Anual];24;756;732;0;ALICANTE/ALACANT;CV-CAM000102-A;0;966865903;http://campinglacolina.com
03590;DOS ESTRELLAS;2e;A;CAM;018;03;CR ALBIR 6;info@sanantonioaltea.com;ACTIVO;19/12/2011;CAMPING;ALTEA;SAN ANTONIO;0;52;No especificado;0;156;156;0;ALICANTE/ALACANT;CV-CAM000089-A;0;609726355;http://sanantonioaltea.com
03590;TRES ESTRELLAS;3e;A;CAM;018;03;PY ALBIR S/N;capblanch@ctv.es;ACTIVO;11/11/1988;CAMPING;ALTEA;CAP BLANCH;22;333;[Anual];66;999;933;0;ALICANTE/ALACANT;CV-CAM000068-A;0;965845946;http://www.camping-capblanch.com
03590;UNA ESTRELLA;1e;A;CAM;018;03;PD Cap Blanch 11;campingsantaclaraaltea@gmail.com;ACTIVO;08/04/2016;CAMPING;ALTEA;SANTA CLARA;3;19;[Anual];6;66;48;12;ALICANTE/ALACANT;CV-CAM000099-A;368;(+34) 965 842 356;http://www.campingsantaclaraaltea.com
03638;UNA ESTRELLA;1e;A;CAM;116;03;Paraje la Boquera 334;cpvistamontana@gmail.com;ACTIVO;08/10/2025;CAMPING;SALINAS;Camperpark Vista Montaña;0;21;[Anual];0;63;63;0;ALICANTE/ALACANT;CV-CAM000130-A;0;632315954;www.cpvistamontana.net
03700;TRES ESTRELLAS;3e;A;CAM;063;03;PD Deveses 32;losllanos@losllanos.net;ACTIVO;08/11/1968;CAMPING;DÉNIA;LOS LLANOS;60;164;[Anual];294;606;312;0;ALICANTE/ALACANT;CV-CAM000034-A;0;965755188;http://www.losllanos.net
03700;TRES ESTRELLAS;3e;A;CAM;063;03;PDA./ LAS ROTAS - CAMÍ DE LA RACONÀ, 16;lospinosdenia@gmail.com;ACTIVO;10/05/1983;CAMPING;DÉNIA;LOS PINOS;0;109;[Anual];0;327;327;0;ALICANTE/ALACANT;CV-CAM000019-A;0;965782698;www.lospinosdenia.com
03710;CUATRO ESTRELLAS;4e;A;CAM;047;03;C Eslovenia 3;info@campingcalpemar.com;ACTIVO;15/07/2009;CAMPING;CALP;CALPEMAR;2;109;[Anual];8;329;321;0;ALICANTE/ALACANT;CV-CAM000085-A;0;965875576;http://www.campingcalpemar.com
03710;DOS ESTRELLAS;2e;A;CAM;047;03;PD COLARI 7-E;info@mediterraneocamper.com;ACTIVO;25/02/2015;CAMPING;CALP;MEDITERRANEO;0;72;[Anual];0;216;216;0;ALICANTE/ALACANT;CV-CAM000095-A;0;965995811;http://mediterraneocamper.com
03710;DOS ESTRELLAS;2e;A;CAM;047;03;PD Marisol Park 43-A;info@marysolcampigpark.com;ACTIVO;24/08/2022;CAMPING;CALP;MARYSOL PARK;0;68;[Anual];0;204;204;0;ALICANTE/ALACANT;CV-CAM000121-A;0;601501665;http://marysolcampingpark.com
03710;DOS ESTRELLAS;2e;A;CAM;047;03;Urbanización Los Almendros, 9-A;calpe@paraisocamper.com;ACTIVO;20/04/2015;CAMPING;CALP;PARAISO CAMPER;0;61;[Anual];0;183;183;0;ALICANTE/ALACANT;CV-CAM000096-A;0;965875348;www. paraisocamper.com
03710;TRES ESTRELLAS;3e;A;CAM;047;03;AV JAUME  I  EL CONQUERIDOR 32-E-1;contact@lamerced.eu;ACTIVO;10/10/1984;CAMPING;CALP;LA MERCED;0;81;[Anual];0;243;243;0;ALICANTE/ALACANT;CV-CAM000031-A;0;965830097;
03724;CUATRO ESTRELLAS;4e;A;CAM;128;03;CM DEL PAELLERO 50;campingmoraira@campingmoraira.com;ACTIVO;10/07/1981;CAMPING;TEULADA;MORAIRA;8;68;[Anual];43;283;180;60;ALICANTE/ALACANT;CV-CAM000029-A;1135;965745249;http://www.campingmoraira.com
03726;UNA ESTRELLA;1e;A;CAM;042;03;C Los Olivos (URB. PP CDS MAR) 97;mediterranean@dreamseasurfcamp.com;ACTIVO;15/02/2021;CAMPING;POBLE NOU DE BENITATXELL, EL/BENITACHELL;DREAMSEA MEDITERRANEAN CAMP;21;21;[Semana Santa];42;42;0;0;ALICANTE/ALACANT;CV-CAM000117-A;0;856620304;https://dreamseasurfcamp.com/mediterranean/
03730;CUATRO ESTRELLAS;4e;A;CAM;082;03;CM DE LA FONTANA 10;info@wecamp.net;ACTIVO;09/03/1981;CAMPING;XÀBIA/JÁVEA;WECAMP JÁVEA;21;207;[Anual];82;640;558;0;ALICANTE/ALACANT;CV-CAM000059-A;0;936268900;https://wecamp.net/
03730;TRES ESTRELLAS;3e;A;CAM;082;03;CM ELS  MORERS - APDO CORREOS 55 15;naranjal@teleline.es;ACTIVO;03/12/1984;CAMPING;XÀBIA/JÁVEA;EL NARANJAL;66;179;[Anual];290;650;339;21;ALICANTE/ALACANT;CV-CAM000065-A;440;965792989;http://www.campingelnaranjal.com
03770;TRES ESTRELLAS;3e;A;CAM;063;03;CR MARINES RACONS 33;;ACTIVO;01/04/1981;CAMPING;DÉNIA;LOS PATOS;0;158;[Anual];0;488;474;14;ALICANTE/ALACANT;CV-CAM000060-A;300;965755293;
03788;TRES ESTRELLAS;3e;A;CAM;134;03;CM D'ANDON S.N;reserves@camping-lavall.com;ACTIVO;10/08/1993;CAMPING;VALL D'ALCALÀ, LA;LA VALL;0;59;No especificado;0;177;177;0;ALICANTE/ALACANT;CV-CAM000071-A;0;965514300;http://www.camping-lavall.com
03791;TRES ESTRELLAS;3e;A;CAM;137;03;C Sant Antoni 24;info@campinglaguar.com;ACTIVO;27/04/2006;CAMPING;VALL DE LAGUAR, LA;VALL DE LAGUAR;11;67;[Anual];48;247;168;31;ALICANTE/ALACANT;CV-CAM000083-A;683;96 558 45 90;http://www.campinglaguar.com
03794;DOS ESTRELLAS;2e;A;CAM;029;03;PDA. VIÑA, PARCELA 41 DEL POLÍGONO 6;;ACTIVO;17/10/2025;CAMPING;BENIGEMBLA;BENIGEMBLA;0;42;[Anual];0;126;126;0;ALICANTE/ALACANT;CV-CAM000131-A;0;;
12132;UNA ESTRELLA;1e;A;CAM;001;12;POLIGONO 15, PARCELA 702 RIBASALS;;ACTIVO;10/09/2024;CAMPING;ATZENETA DEL MAESTRAT;EL MOLÍ GLAMPING;3;8;[Anual];6;27;15;6;CASTELLÓN/CASTELLÓ;CV-CAM000086-CS;296;621680316;
12150;TRES ESTRELLAS;3e;A;CAM;129;12;CR VILLAFRANCA-TERUEL. PARTIDA VEGAS TEJERIA KM. 0'7;xavivila86@gmail.com;ACTIVO;14/07/1997;CAMPING;VILAFRANCA/VILLAFRANCA DEL CID;LLOSAR;0;58;No especificado;0;204;174;30;CASTELLÓN/CASTELLÓ;CV-CAM000068-CS;745;689029264;
12179;UNA ESTRELLA;1e;A;CAM;111;12;PARAJE LA VALLTORTA, Plá de l'Om, s/n;info@zielodelevante.com;ACTIVO;14/05/1993;CAMPING;TÍRIG;ZIELO DE LEVANTE;12;18;No especificado;32;50;18;0;CASTELLÓN/CASTELLÓ;CV-CAM000062-CS;0;+34 630 949 950;https://www.zielodelevante.com/es
12180;CUATRO ESTRELLAS;4e;A;CAM;033;12;AV La Ratlla 7;info@campingriberamar.com;ACTIVO;25/03/1993;CAMPING;CABANES;RIBERAMAR;35;237;No especificado;138;744;606;0;CASTELLÓN/CASTELLÓ;CV-CAM000061-CS;0;964319762;http://www.campingriberamar.com
12192;UNA ESTRELLA;1e;A;CAM;128;12;C REI EN JAUME I 297;camperareavilafames@gmail.com;ACTIVO;28/04/2023;CAMPING;VILAFAMÉS;CAMPER AREA VILAFAMES;0;20;[Anual];0;60;60;0;CASTELLÓN/CASTELLÓ;CV-CAM000084-CS;0;633646628;http://www.camperaereavilafames.com
12320;TRES ESTRELLAS;3e;A;CAM;099;12;CV 136 Km 1.5, Sant Jordi, Cervera, 1.5;info@maestratpark.es;ACTIVO;11/07/2017;CAMPING;SANT JORDI/SAN JORGE;MAESTRAT PARK;48;107;[Anual];194;371;177;0;CASTELLÓN/CASTELLÓ;CV-CAM000079-CS;0;964 412 262;https://es.maestratpark.es
12400;CUATRO ESTRELLAS;4e;A;CAM;104;12;C Monte San Blas S.N;info@complejosanblas.com;ACTIVO;27/07/1989;CAMPING;SEGORBE;COMPLEJO SAN BLAS;3;70;[Anual];12;213;201;0;CASTELLÓN/CASTELLÓ;CV-CAM000053-CS;0;+34 964 710 784;http://www.complejosanblas.com
12410;TRES ESTRELLAS;3e;A;CAM;012;12;PARQUE MUNICIPAL S.N;camping@infoaltura.com;ACTIVO;15/07/1983;CAMPING;ALTURA;CAMPING MUNICIPAL;0;108;No especificado;0;336;324;12;CASTELLÓN/CASTELLÓ;CV-CAM000044-CS;300;964147089;
12430;TRES ESTRELLAS;3e;A;CAM;022;12;Partida Huerta Martín, s/n, Los Cloticos;info@campingloscloticos.es;ACTIVO;05/10/1993;CAMPING;BEJÍS;LOS CLOTICOS;12;89;[Verano];57;288;231;0;CASTELLÓN/CASTELLÓ;CV-CAM000063-CS;0;964 764 015;http://www.campingloscloticos.es
12448;UNA ESTRELLA;1e;A;CAM;079;12;CAMINO CARRERA SN;mtodoli@hotmail.com;ACTIVO;14/03/2025;CAMPING;MONTANEJOS;CAMPING LA GRANJA DE MONTANEJOS;19;67;[Anual];75;265;144;46;CASTELLÓN/CASTELLÓ;CV-CAM000087-CS;562.69;652226000;
12460;CUATRO ESTRELLAS;4e;A;CAM;140;12;CM BENABAL (Partida de las Quinchas) S.N;info@campingvilladeviver.es;ACTIVO;20/12/1981;CAMPING;VIVER;VILLA DE VIVER;0;62;[Anual];0;198;186;12;CASTELLÓN/CASTELLÓ;CV-CAM000041-CS;280;964 14 13 34;http://www.campingvilladeviver.es
12470;CUATRO ESTRELLAS;4e;A;CAM;081;12;CR CV-213  NAVAJAS km. 1;reservas@campingaltomira.com;ACTIVO;25/06/1997;CAMPING;NAVAJAS;ALTOMIRA;22;112;[Anual];114;505;270;121;CASTELLÓN/CASTELLÓ;CV-CAM000067-CS;2892;964713211;http://www.campingaltomira.com
12500;TRES ESTRELLAS;3e;A;CAM;138;12;CTRA. N-340, KM. 1054;info@campingvinaros.com;ACTIVO;28/07/2004;CAMPING;VINARÒS;VINARÒS;83;228;[Anual];261;696;435;0;CASTELLÓN/CASTELLÓ;CV-CAM000074-CS;0;964402424;http://www.campingvinaros.com
12500;TRES ESTRELLAS;3e;A;CAM;138;12;PD  LAS SALINAS 41;aurea-alonso@hotmail.es;ACTIVO;14/01/1983;CAMPING;VINARÒS;CALA PUNTAL;6;81;[Anual];32;249;225;0;CASTELLÓN/CASTELLÓ;CV-CAM000043-CS;1000;964401729;
12520;DOS ESTRELLAS;2e;A;CAM;082;12;CM SARRATELLES S/N;franroblessanchez.23@gmail.com;ACTIVO;01/06/1992;CAMPING;NULES;COSTA DE LEVANTE;39;121;[Anual];213;532;246;73;CASTELLÓN/CASTELLÓ;CV-CAM000060-CS;1204;658511507;http://www.campingcostadelevante.es
12560;CINCO ESTRELLAS;5e;A;CAM;028;12;AV BARCELONA 47;info@bonterraresort.com;ACTIVO;27/04/1968;CAMPING;BENICÀSSIM/BENICASIM;BONTERRA;56;344;[Anual];328;1192;864;0;CASTELLÓN/CASTELLÓ;CV-CAM000015-CS;0;964300007;https://bonterraresort.com/
12560;CUATRO ESTRELLAS;4e;A;CAM;028;12;AV GRAN AVENIDA 295;info@campingtauro.com;ACTIVO;21/08/1974;CAMPING;BENICÀSSIM/BENICASIM;TAURO;12;131;[Anual];67;424;357;0;CASTELLÓN/CASTELLÓ;CV-CAM000024-CS;0;964392967;http://www.campingtauro.com
12560;CUATRO ESTRELLAS;4e;A;CAM;028;12;PD Villarroig s/n;info@campingazahar.es;ACTIVO;20/06/1990;CAMPING;BENICÀSSIM/BENICASIM;AZAHAR;0;198;[Anual];0;658;658;0;CASTELLÓN/CASTELLÓ;CV-CAM000051-CS;0;964303196;http://www.campingazahar.es
12560;TRES ESTRELLAS;3e;A;CAM;028;12;AV GRAN AVENIDA JAIME I 267;avenida@campingsbenciasim.com;ACTIVO;02/11/1971;CAMPING;BENICÀSSIM/BENICASIM;GRAN AVENIDA;5;90;No especificado;19;317;255;43;CASTELLÓN/CASTELLÓ;CV-CAM000010-CS;703;964101023;http://www.campingsbenicasim.com/es/campingavendia
