N de inscripcion;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Fecha alta;Referencia catastral;Código registral único;Rural;Superficie;Plazas totales;Estudio;Habitaciones dobles;Plazas dobles;Habitaciones individuales;Plazas individuales;Total dormitorios;Año_alta;Mes_alta
CV-VUT0514156-A;;ALICANTE/ALACANT;TORREVIEJA;03185;AV ESTACION DE LA, 28, Es:1 Pl:02 Pt:04A;;2025-01-28;2962117YH0026S0005PJ;;N;66.0;3;N;1.0;2;1.0;1;2.0;2025;1
CV-VUT0514157-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CALLE TEIDE 2 - LOS ALTOS DE LA LAGUNA, VIVIENDA 51;;2025-01-27;;3,05E+12;N;;5;N;2.0;4;1.0;1;3.0;2025;1
CV-VUT0514082-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL PLEAMAR, 11, Bloque:2 Es:2 Pl:02 Pt:F;;2025-02-06;1327427YH0012N0127QW;3,05E+12;N;51.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514085-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL AQUILES, 17, Es:1 Pl:03 Pt:12;;2025-02-06;5496307YH0059N0066KM;;N;37.0;2;N;1.0;2;0.0;0;1.0;2025;2
CV-VUT0514088-A;;ALICANTE/ALACANT;TORREVIEJA;03184;UR PARQUE LAGO, 26, Es:1 Pl:00 Pt:26;;2025-02-06;2089401YH0028N0026TS;3,05E+12;N;84.0;4;N;1.0;2;2.0;2;3.0;2025;2
CV-VUT0514089-A;;ALICANTE/ALACANT;TORREVIEJA;03180;UR JARDIN DEL MAR III, 1, Es:M Pl:00 Pt:81;;2025-02-06;3380802YH0038S0079SH;3,05E+12;N;51.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514181-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL SAN JULIAN, 13T, Pl:04 Pt:04;;2025-02-20;3161220YH0036S0018RI;;N;72.0;4;N;1.0;2;2.0;2;3.0;2025;2
CV-VUT0514431-A;;ALICANTE/ALACANT;TORREVIEJA;03180;UR HONDO EL, 10M, Es:1 Pl:00 Pt:23;;2025-02-24;2185901YH0028N0116HI;;N;64.0;2;N;1.0;2;0.0;0;1.0;2025;2
CV-VUT0514432-A;;ALICANTE/ALACANT;TORREVIEJA;03183;RD JOSE SAMPER GARCIA, 1A, Es:1 Pl:00 Pt:03;;2025-02-24;5590511YH0059S0003ZO;;N;44.0;2;N;1.0;2;0.0;0;1.0;2025;2
CV-VUT0513401-A;Vivienda 513401-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR CASA PEINAO II, 4M, Es:16 Pl:00 Pt:98;;2024-12-18;5284601YH0058S0098HF;;N;65.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0513402-A;Vivienda 513402-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV SUIZA, 4, Es:1 Pl:00 Pt:01;;2024-12-18;6008806YH0150N1001LP;;N;167.0;7;N;3.0;6;1.0;1;4.0;2024;12
CV-VUT0513403-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL ZOA, 6, Es:1 Pl:02 Pt:02;;2024-12-18;4158701YH0045N0009YR;;N;64.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0513407-A;Vivienda 513407-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL RHABINDRANATH TAGORE, 6, Es:7 Pl:02 Pt:C8;;2024-12-18;5769501YH0056N0205TR;;N;69.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0513394-A;Vivienda 513394-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL FINLANDIA, 35, Es:1 Pl:03 Pt:E;;2024-12-17;5368607YH0056N0028OG;;N;72.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0513267-A;Vivienda 513267-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV DIEGO RAMIREZ PASTOR, 192, Es:1 Pl:02 Pt:16;;2024-12-11;4566701YH0046N0048EW;;N;50.0;2;N;1.0;2;0.0;0;1.0;2024;12
CV-VUT0513270-A;Vivienda 513270-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL FCO.RODRIGUEZ EL ALMENDRO, 0, Es:BJ Pl:10 Pt:17;;2024-12-11;2388801YH0028N0226ZK;;N;43.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0513271-A;Vivienda 513271-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL SUECIA, 3, Pl:03 Pt:F;;2024-12-11;5467706YH0056N0024PA;;N;80.0;6;N;3.0;6;0.0;0;3.0;2024;12
CV-VUT0513272-A;Vivienda 513272-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR JARDIN DEL MAR V, 5, Bloque:3 Es:1 Pl:01 Pt:228;;2024-12-11;3284803YH0038S0225HY;;N;64.0;6;N;3.0;6;0.0;0;3.0;2024;12
CV-VUT0513274-A;Vivienda 513274-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV DIEGO RAMIREZ PASTOR, 172, Es:3 Pl:01 Pt:J;;2024-12-11;4265606YH0046N0025MI;;N;59.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0512434-A;Vivienda 512434-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL TORREAGUERA, 6, Es:B Pl:+1 Pt:14;;2024-10-28;2456701YH0025N0080HB;;N;59.0;4;N;2.0;4;0.0;0;2.0;2024;10
CV-VUT0512435-A;Vivienda 512435-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL PEDRO LORCA, 152, Es:1 Pl:02 Pt:H;;2024-10-28;5061401YH0056S0010DI;;N;90.0;6;N;3.0;6;0.0;0;3.0;2024;10
CV-VUT0512436-A;Vivienda 512436-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ISLANDIA, 1, Es:1 Pl:01 Pt:02;;2024-10-28;5265501YH0056N0014WR;;N;25.0;2;N;1.0;2;0.0;0;1.0;2024;10
CV-VUT0512437-A;Vivienda 512437-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR DOÑA INES, 10B, Es:2 Pl:00 Pt:06;;2024-10-28;3376501YH0037N0030KM;;N;51.0;4;N;2.0;4;0.0;0;2.0;2024;10
CV-VUT0512438-A;Vivienda 512438-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PARQUE MAR 1, 1, Es:1 Pl:01 Pt:95;;2024-10-28;5503501YH0150S0169IR;;N;46.0;4;N;2.0;4;0.0;0;2.0;2024;10
CV-VUT0512439-A;Vivienda 512439-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PARQUE MAR 1, 1, Es:1 Pl:00 Pt:91;;2024-10-28;5503501YH0150S0165RM;;N;58.0;4;N;2.0;4;0.0;0;2.0;2024;10
CV-VUT0514199-A;;ALICANTE/ALACANT;TORREVIEJA;03180;AV TORREVIEJA BAL, 1, Es:1 Pl:00 Pt:16;;2025-02-11;0341501YH0004S0016WY;;N;49.0;4;N;1.0;2;2.0;2;3.0;2025;2
CV-VUT0514200-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL PALANGRE DE, 22, Es:1 Pl:01 Pt:H;;2025-02-11;5266905YH0056N0009AW;;N;58.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514440-A;;ALICANTE/ALACANT;TORREVIEJA;03185;PZ SALINERO EL, 5, Es:1 Pl:01 Pt:17;;2025-02-24;2151502YH0025S0005AM;;N;37.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514441-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL VIRGEN DE LA PALOMA, 39, Es:1 Pl:+1 Pt:07;;2025-02-24;4663112YH0046S0020YA;;N;48.0;3;N;1.0;2;1.0;1;2.0;2025;2
CV-VUT0514442-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL VICENTE BLASCO IBAÑEZ, 119, Es:1 Pl:03 Pt:09;;2025-02-24;4563610YH0046S0079FO;;N;54.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0513561-A;Vivienda 513561-A;ALICANTE/ALACANT;TORREVIEJA;03180;AV HABANERAS DE LAS, 87, Pl:01 Pt:A;;2024-12-31;4964205YH0046S0007JR;;N;118.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0512357-A;Vivienda 512357-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL HELSINKI, 18, Es:1 Pl:03 Pt:09;;2024-10-24;5367401YH0056N0055YP;;N;52.0;4;N;2.0;4;0.0;0;2.0;2024;10
CV-VUT0512363-A;Vivienda 512363-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL SAN ISIDRO LABRADOR-MATA, 10, Es:1 Pl:04 Pt:02;;2024-10-24;5917602YH0151N0043ZD;;N;78.0;4;N;2.0;4;0.0;0;2.0;2024;10
CV-VUT0512366-A;Vivienda 512366-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL CICLON, 1, Es:4 Pl:04 Pt:A1;;2024-10-24;1621801YH0012S0057IT;;N;168.0;6;N;3.0;6;0.0;0;3.0;2024;10
CV-VUT0512367-A;Vivienda 512367-A;ALICANTE/ALACANT;TORREVIEJA;03185;CL SANTOMERA, 17A, Es:1 Pl:03 Pt:07;;2024-10-24;2658901YH0025N0091ET;;N;57.0;2;N;1.0;2;0.0;0;1.0;2024;10
CV-VUT0513264-A;Vivienda 513264-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL MAESTRO FRANCISCO CASANOV, 2B, Es:1 Pl:04 Pt:03;;2024-12-11;3965510YH0036N0017MX;;N;52.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0514184-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL BILBAO, 1, Es:1 Pl:01 Pt:16;;2025-02-20;2964802YH0026S0084KE;03052000708629.;N;59.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514185-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL DOCTOR FLEMING, 17, Es:1 Pl:01 Pt:06;;2025-02-20;5771401YH0057S0006FQ;;N;53.0;3;N;1.0;2;1.0;1;2.0;2025;2
CV-VUT0514194-A;;ALICANTE/ALACANT;TORREVIEJA;03182;CL CAPITAN GARCIA GEA, 8, Pl:01 Pt:12;;2025-02-20;4963822YH0046S0083EP;;N;61.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514243-A;;ALICANTE/ALACANT;TORREVIEJA;03180;UR PUNTA PRIMA, 2A, Es:1 Pl:03 Pt:19;;2025-02-13;1423802YH0012S0020GM;3,05E+12;N;153.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514244-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL PLEAMAR, 3, Es:1 Pl:02 Pt:08;;2025-02-13;1327426YH0012N0017TG;3,05E+12;N;73.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514408-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL PEDRO LORCA, 126, Es:1 Pl:01 Pt:04;;2025-02-21;4761110YH0046S0015FO;;N;78.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0513496-A;Vivienda 513496-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ZV 54, 8R, Es:2 Pl:00 Pt:39;;2024-12-28;8644702XH9084S0023EX;;N;78.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0513553-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL SANTOMERA, 8, Es:1 Pl:02 Pt:B;;2024-12-31;2758901YH0025N0036RF;;N;96.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0512750-A;Vivienda 512750-A;ALICANTE/ALACANT;TORREVIEJA;03182;CL GOLETA, 21, Es:1 Pl:01 Pt:0G;;2024-11-14;5065111YH0056N0019QO;;N;43.0;2;N;1.0;2;0.0;0;1.0;2024;11
CV-VUT0511805-A;Vivienda 511805-A;ALICANTE/ALACANT;TORREVIEJA;03180;CL ESTOCOLMO, 15, Es:1 Pl:02 Pt:02;;2024-09-30;5468404YH0056N0008ZQ;;N;38.0;2;N;1.0;2;0.0;0;1.0;2024;9
CV-VUT0513094-A;Vivienda 513094-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR ALTOS LOS, 2, Pl:00 Pt:B5;;2024-12-02;0338701YH0003N0115SY;;N;45.0;4;N;2.0;4;0.0;0;2.0;2024;12
CV-VUT0514043-A;Miramar Vibes 5.;ALICANTE/ALACANT;TORREVIEJA;03188;CL BOGAVANTE, 5, Es:5 Pl:05 Pt:05;;2025-02-03;6491901YH0069S0159ZA;;N;66.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514059-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL FRAGATA, 42, Es:1 Pl:04 Pt:F;;2025-02-05;4865510YH0046N0021XR;;N;68.0;4;N;1.0;2;2.0;2;3.0;2025;2
CV-VUT0514062-A;APARTAMENTO ALTOS DE LA BAHIA ;ALICANTE/ALACANT;TORREVIEJA;03180;CL FRAY LUIS DE LEON, 14M, Es:5 Pl:01 Pt:126;;2025-02-05;5581201YH0058S0127YD;;N;61.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0514162-A;VIVIENDA MARBAIN;ALICANTE/ALACANT;TORREVIEJA;03183;CL JOVEN TRINIDAD, 6, Es:1 Pl:02 Pt:D;;2025-01-27;4172604YH0047S0010ZZ;3,06E+12;N;63.0;4;N;2.0;4;0.0;0;2.0;2025;1
CV-VUT0514148-A;;ALICANTE/ALACANT;TORREVIEJA;03180;AV DOCTOR GREGORIO MARAÑON, 54A, Es:1 Pl:01 Pt:J;;2025-02-07;2757601YH0025N0105FK;2757601YH0025N0105FK;N;90.0;4;N;2.0;4;0.0;0;2.0;2025;2
CV-VUT0512747-A;Vivienda 512747-A;ALICANTE/ALACANT;TORREVIEJA;03180;UR PARQUE MAR 1, 1, Es:3 Pl:01 Pt:02;;2024-11-14;5503501YH0150S0269AU;;N;53.0;2;N;1.0;2;0.0;0;1.0;2024;11
CV-VUT0514152-A;;ALICANTE/ALACANT;TORREVIEJA;03183;AV CORINTO, 3, Es:1 Pl:00 Pt:134;;2025-02-09;5093607YH0059S0001MU;;N;157.0;4;N;1.0;2;2.0;2;3.0;2025;2
CV-VUT0517788-A;;ALICANTE/ALACANT;TORREVIEJA;03180;CL PAZ LA, 231, Es:1 Pl:02 Pt:03;;2025-07-21;4063607YH0046S0048OP;;N;58.0;4;N;2.0;4;0.0;0;2.0;2025;7
CV-VUT0517789-A;;ALICANTE/ALACANT;TORREVIEJA;03180;AV DIEGO RAMIREZ PASTOR, 276, Es:1 Pl:01 Pt:52;;2025-07-21;5166401YH0056N0100EL;;N;66.0;2;N;1.0;2;0.0;0;1.0;2025;7
CV-VUT0517790-A;;ALICANTE/ALACANT;TORREVIEJA;03180;AV ROENTGEN, 6, Bloque:22 Es:2 Pl:01 Pt:01;;2025-07-21;5571701YH0057S0022YA;;N;111.0;6;N;3.0;6;0.0;0;3.0;2025;7
CV-VUT0517812-A;;ALICANTE/ALACANT;TORREVIEJA;03185;CL GOLETA NUEVO RAYO, 16A, Es:1 Pl:01 Pt:26;;2025-07-22;2151201YH0025S0009JR;;N;39.0;4;N;2.0;4;0.0;0;2.0;2025;7
CV-VUT0517818-A;;ALICANTE/ALACANT;TORREVIEJA;03186;CL ASTURIAS BAL, 29, Es:T Pl:OD Pt:OS;;2025-07-22;9840419XH9094S0001OP;;N;870.0;14;N;7.0;14;0.0;0;7.0;2025;7
CV-VUT0516960-A;SEVENSEP18 SL;ALICANTE/ALACANT;TORREVIEJA;03183;AV ROENTGEN, 6, Bloque:18 Es:B Pl:00 Pt:02;;2025-05-30;5571704YH0057S0048UI;;N;74.0;4;N;2.0;4;0.0;0;2.0;2025;5
CV-VUT0517908-A;LEN VERSTEGEN;ALICANTE/ALACANT;TORREVIEJA;03180;UR ALTOS LOS, 2, Pl:00 Pt:31;;2025-07-28;0338701YH0003N0031LD;;N;45.0;2;N;1.0;2;0.0;0;1.0;2025;7
