Signatura;Cod. Estado;Estado;Cod. Categoria;Categoría;Nombre;Cod. Provincia;Provincia;Cod. Municipio;Municipio;Comarca;CP;Dirección;Cod. Tipo Via;Tipo Via;Via;Número;Email;Web;Cod. Grupo;Grupo;Cod. Modalidad;Modalidad;Habitaciones;Plazas;Cod. Cadena;Cadena;Fecha Alta;Fecha Baja;Periodo;Días periodo;Unnamed: 31
CV H00484 A;B;BAJA;2;2 ESTRELLAS;LA CIBELES;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;AVENIDA GREGORIO MARAÑON, 28;AV;AVENIDA;GREGORIO MARAÑON;28; ; ;HS;HOSTAL;SR;HOSTAL-RESIDENCIA;40;80;NCD;NO PERTENECE A NINGUNA CADENA;21/07/1965;11/12/1998;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01772 A;A;ALTA;0;PENSIÓN;LA MAR SALÁ I;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;CALLE GABRIEL MIRO, 9 ESC 1 P1;C;CALLE;GABRIEL MIRO;9 ESC 1 P1;oficina@consultingvegatec.com; ;P;PENSIÓN; ; ;2;4;NCD;NO PERTENECE A NINGUNA CADENA;23/12/2025; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01244 A;A;ALTA;1;1 ESTRELLA;LAGUNA SALADA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03185;CALLE MONTEPERDIDO, URB. LOS ALTOS, 22;C;CALLE;MONTEPERDIDO, URB. LOS ALTOS;22;aparthotelatlas@hotmail.com;https://aparthotelatlas.negocio.site;H;HOTEL;HA;HOTEL-APARTAMENTO;16;40;NCD;NO PERTENECE A NINGUNA CADENA;21/06/2002; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01630 A;A;ALTA; ; ;LAVELA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03182;CALLE SAN PASCUAL, 210;C;CALLE;SAN PASCUAL;210;lavelaturistico2023@gmail.com; ;HS;HOSTAL; ; ;5;10;NCD;NO PERTENECE A NINGUNA CADENA;11/08/2023; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00381 A;B;BAJA;0;PENSIÓN;LEANDRO;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;CALLE HUERTO, 2;C;CALLE;HUERTO;2; ; ;P;PENSIÓN;P;PENSIÓN;14;18;NCD;NO PERTENECE A NINGUNA CADENA;05/03/1964;20/12/2013;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01138 A;A;ALTA;3;3 ESTRELLAS;LLOYDS BEACH CLUB;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03188;AVENIDA HOLANDESES, 2;AV;AVENIDA;HOLANDESES;2;info@lloydsclub.com;http://www.lloydsclub.com;H;HOTEL;HA;HOTEL-APARTAMENTO;28;72;NCD;NO PERTENECE A NINGUNA CADENA;21/04/1995; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00997 A;B;BAJA;2;2 ESTRELLAS;MARBELLA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;CALLE ALFREDO NOBEL, 002;C;CALLE;ALFREDO NOBEL;002; ; ;H;HOTEL;H;HOTEL;30;50;NCD;NO PERTENECE A NINGUNA CADENA;19/04/1978;25/01/1994;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00301 A;A;ALTA;3;3 ESTRELLAS;MASA INTERNATIONAL;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03183;CALLE ALFREDO NOBEL, 150;C;CALLE;ALFREDO NOBEL;150;info@hotelmasa.com;http://www.hotelmasa.com;H;HOTEL;H;HOTEL;50;99;NCD;NO PERTENECE A NINGUNA CADENA;15/10/1963; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00953 A;B;BAJA;2;2 ESTRELLAS;MAZU;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;CALLE FOTOGRAFOS DARBLADE, 001;C;CALLE;FOTOGRAFOS DARBLADE;001; ; ;HS;HOSTAL;SR;HOSTAL-RESIDENCIA;39;54;NCD;NO PERTENECE A NINGUNA CADENA;09/10/1975;27/07/1993;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01068 A;B;BAJA;2;2 ESTRELLAS;MOTEL LAS BARCAS;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03185;CARRETERA TORREVIEJA-CARTAGENA, KM., 4,5;CR;CARRETERA;TORREVIEJA-CARTAGENA, KM.;4,5;m966705505@hotmail.com; ;H;HOTEL;H;HOTEL;28;56;NCD;NO PERTENECE A NINGUNA CADENA;21/05/1987;22/05/2012;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01125 A;A;ALTA;3;3 ESTRELLAS;PLAYAS DE TORREVIEJA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03188;URBANIZACIÓN CABO CERVERA. C/ DEL CABO, S/N;UR;URBANIZACIÓN;CABO CERVERA. C/ DEL CABO;S/N;reservas.torrevieja@hotelesposeidon.com;https://www.hotelplayasdetorrevieja.com;H;HOTEL;H;HOTEL;187;439;POS;HOTELES POSEIDÓN;06/10/1993; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00889 A;B;BAJA;0;PENSIÓN;REINA;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;AVENIDA GREGORIO MARAÑÓN, 22;AV;AVENIDA;GREGORIO MARAÑÓN;22;tore@arrakis.es; ;P;PENSIÓN;P;PENSIÓN;14;26;NCD;NO PERTENECE A NINGUNA CADENA;27/09/1973;30/11/2009;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H00596 A;B;BAJA;0;PENSIÓN;REY DE ORIENTE;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;PLAZA PLAZA DE ORIENTE, 24;PL;PLAZA;PLAZA DE ORIENTE;24; ; ;P;PENSIÓN;P;PENSIÓN;11;12;NCD;NO PERTENECE A NINGUNA CADENA;19/01/1968;21/05/2002;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01423 A;B;BAJA;3;3 ESTRELLAS;SOLE BELLO;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03188;CALLE DEL MAR  - LA MATA, 3;C;CALLE;DEL MAR  - LA MATA;3;renfrag@gmail.com; ;H;HOTEL;HA;HOTEL-APARTAMENTO;49;120;NCD;NO PERTENECE A NINGUNA CADENA;24/04/2015;16/11/2015;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01152 A;B;BAJA;3;3 ESTRELLAS;SOLE-BELLO RESORT;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03188;CALLE DEL MAR - LA MATA, 3;C;CALLE;DEL MAR - LA MATA;3;solebello_apt@hotmail.com; ;H;HOTEL;HA;HOTEL-APARTAMENTO;49;119;NCD;NO PERTENECE A NINGUNA CADENA;17/11/1995;25/04/2007;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01077 A;A;ALTA;3;3 ESTRELLAS;TORREJOVEN;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03185;CARRETERA TORREVIEJA-CARTAGENA, KM., 4,7;CR;CARRETERA;TORREVIEJA-CARTAGENA, KM.;4,7;reservas@hoteltorrejoven.com;http://hoteltorrejoven.com;H;HOTEL;H;HOTEL;110;220;NCD;NO PERTENECE A NINGUNA CADENA;29/05/1987; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01746 A;A;ALTA;0;PENSIÓN;TORRESAL;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03181;CALLE TORRESAL, 2;C;CALLE;TORRESAL;2;pensiontorresal@gmail.com; ;P;PENSIÓN; ; ;18;32;NCD;NO PERTENECE A NINGUNA CADENA;19/09/2025; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01009 A;B;BAJA;0;PENSIÓN;TUTO;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;CALLE CALLOSA DE SEGURA, 000;C;CALLE;CALLOSA DE SEGURA;000; ; ;P;PENSIÓN;P;PENSIÓN;15;18;NCD;NO PERTENECE A NINGUNA CADENA;20/02/1980;17/07/1995;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01210 A;A;ALTA;3;3 ESTRELLAS;TUTO;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03185;CALLE CALLOSA DEL SEGURA (PLAYA DE LOS NAUFRAGOS), 4;C;CALLE;CALLOSA DEL SEGURA (PLAYA DE LOS NAUFRAGOS);4;info@hoteltuto.com;http://www.hoteltuto.com;H;HOTEL;H;HOTEL;31;50;NCD;NO PERTENECE A NINGUNA CADENA;05/02/2001; ;SIEMPRE ABIERTO;De Lunes a Domingo;
CV H01750 A;A;ALTA; ; ;VITA VERDE;3;ALACANT;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;03180;CALLE SAN PASCUAL, 175;C;CALLE;SAN PASCUAL;175;FAJNO.TM@GMAIL.COM; ;HS;HOSTAL; ; ;12;28;NCD;NO PERTENECE A NINGUNA CADENA;15/09/2025; ;SIEMPRE ABIERTO;De Lunes a Domingo;
